V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,gid,Q1.1,Q1.2,Q2.1,Q2.2_1,Q2.2_2,Q2.2_3,Q2.2_4,Q2.2_5,Q2.2_6,Q2.2_7,Q2.2_8,Q2.2_9,Q2.2_10,Q2.3,Q2.4_orange,Q2.4_banana,Q2.4_strawberry,Q2.4_apple,Q2.4_5,Q2.4_loquat,Q2.4_rambutan,Q2.4_mangosteen,Q2.4_peach,Q2.5,Q2.5_TEXT,NES_11,NES_5,NES_14,CD_4R,CON_3,NES_10,CD_7R,CD_12R,NES_1,CD_5,NES_8,CON_2,CD_1R,CD_11,CD_9,CD_3,NES_7,TECH_2,CD_13R,CON_5,NES_13,NES_3,CON_1,CD_2R,TECH_5(N),CD_8,NES_12,NES_6,CD_6,CON_4,CD_10,Q3.5_Validation,NES_15,NES_9,NES_2,TECH_3(N),NES_4,TECH_1,TECH_4,Q3.7,Q3.7_TEXT,Q4.1,Q4.2,Q5.1,Q5.2,Q6.1,Q6.2,Q7.1_1,Q7.1_2,Q7.1_3,Q7.1_4,Q7.1_5,Q7.2,Q7.3,Q8.1,Q8.2,Q9.1,Q9.2,Q9.3,Q9.4,Q9.5,Q9.6,Q9.7,Q9.8,Q9.9,Q10.1,Q10.2_1,Q10.2_2,Q10.2_3,Q10.2_4,Q10.2_5,Q10.2_6,Q10.3_1,Q10.3_2,Q10.3_3,Q10.3_4,Q10.3_5,Q10.3_6,Q11.1,Q11.2,Q11.3,Q11.4,Q11.5,Q11.6,Q11.7,LocationLatitude,LocationLongitude,LocationAccuracy
R_3ypBTpAFgHlXsCV,Default Response Set,Anonymous,,,,1,4/30/16 13:26,4/30/16 13:26,1,,2,,1,,1,,,,,,,,,6,2,1,1,2,1,1,5,5,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.6381073,-82.41410065,-1
R_8e3ZPBajn6j2m69,Default Response Set,Anonymous,,,,1,4/30/16 13:27,4/30/16 13:29,1,,2,,1,,1,,,,,,,,,6,1,1,2,2,2,5,5,5,1,4,,6,5,3,7,1,2,2,2,6,6,3,7,5,6,5,6,7,2,3,3,5,4,2,2,5,1,3,5,4,2,6,7,2,2,2,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.6381073,-82.41410065,-1
R_dcDdxJoYStugnVb,Default Response Set,Anonymous,,,,1,4/30/16 13:30,4/30/16 13:32,1,,2,,2,,,,,1,,,,,,1,2,2,3,2,2,5,5,5,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.6381073,-82.41410065,-1
R_egHW9rp6ddEQ0Nn,Default Response Set,Anonymous,,,,1,4/30/16 13:32,4/30/16 13:34,1,,2,,1,,,1,,,,,1,,,9,1,1,1,1,1,5,1,5,1,2,,7,7,7,7,7,7,4,4,2,5,2,4,2,2,2,2,2,2,4,4,4,4,4,4,4,6,6,6,6,6,6,6,1,1,1,1,1,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.6381073,-82.41410065,-1
R_4HnzV3BtixPP5g9,Default Response Set,Anonymous,,,,1,4/30/16 13:35,4/30/16 13:35,1,,2,,1,,,,,,,,,1,,4,5,4,1,4,4,1,5,5,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.6381073,-82.41410065,-1
R_a8yv9uN0GAWq4Yd,Default Response Set,Anonymous,,,,1,4/30/16 13:37,4/30/16 13:39,1,,2,,1,,,,,,,,1,,,4,4,4,5,5,4,5,5,5,5,2,,2,2,3,5,3,3,6,6,3,5,6,4,6,6,5,6,5,6,1,1,2,1,1,1,7,4,5,6,5,5,5,5,7,7,4,7,7,6,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.6381073,-82.41410065,-1
R_2nvZWUTTnDE1MfX,Default Response Set,Anonymous,,,,1,4/30/16 13:44,4/30/16 13:46,1,,2,,1,,,,,,,,1,,,4,1,1,2,1,2,5,5,5,2,4,,4,4,4,4,4,4,6,6,6,6,6,6,3,3,3,3,3,3,1,1,1,1,1,1,1,2,2,2,3,2,2,6,2,2,2,2,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.6381073,-82.41410065,-1
R_8ufiEGvOtj6OC0J,Default Response Set,Anonymous,,,,1,4/30/16 13:49,4/30/16 13:56,1,,2,,1,,,,,,,,1,,,4,1,2,2,1,2,5,5,5,1,4,,7,6,6,3,6,5,2,2,5,5,3,5,3,5,4,5,6,5,3,5,4,2,5,4,5,6,1,3,5,5,5,2,6,2,3,5,1,7,4,1,,,,7,1,,,,,,,,,,,,2,2,2,2,1,2,2,2,1,2,7,4,6,5,6,7,1,2,1,1,1,2,1,1,5,2,1,36,6,29.6381073,-82.41410065,-1
R_0wAGpUmiAvKadPT,Default Response Set,Anonymous,,,,1,4/30/16 13:57,4/30/16 14:06,1,,2,,1,,,,,,,,1,,,4,2,1,1,2,3,5,5,5,2,2,,6,7,2,3,4,1,3,2,5,5,6,7,4,5,3,5,6,5,6,5,2,4,3,7,1,5,2,2,2,6,5,2,6,5,6,3,5,4,7,2,,,,,,,,2,2,2,2,1,4,1,,,2,2,3,2,1,2,2,1,2,2,7,7,7,5,5,5,2,2,2,2,1,3,1,3,2,4,3,28,1,29.6381073,-82.41410065,-1
R_41NWQFPE0LNxRqJ,Default Response Set,Anonymous,,,,1,4/30/16 14:07,4/30/16 14:08,1,,2,,1,,,,,,1,,,,,3,5,1,2,1,2,5,5,5,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.6381073,-82.41410065,-1
R_7Wg9957NbKV0zfT,Default Response Set,Anonymous,,,,1,4/30/16 14:08,4/30/16 14:12,1,,2,,1,,,,,,1,,,,,5,2,1,1,1,2,5,5,5,2,2,,5,2,3,7,4,6,3,5,7,6,2,4,2,3,5,1,6,4,5,1,4,5,3,5,5,7,5,1,6,3,4,2,3,2,4,3,6,5,3,4,,7,1,,,,,,,,,,,,,,3,2,2,2,1,2,2,3,1,2,7,7,5,4,5,4,2,3,1,2,3,2,1,5,3,1,,51,5,29.6381073,-82.41410065,-1
R_1esNja9BJyNSham,Default Response Set,Anonymous,,,128.227.185.124,0,4/25/16 13:19,4/25/16 13:20,0,,2,,1,,,1,,,,,,,,5,3,3,2,3,3,3,3,3,3,2,,5,4,4,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,2,,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1
R_42g4fgGMFc3BnOR,Default Response Set,Anonymous,,,37.201.241.218,0,5/2/16 15:21,5/2/16 15:28,1,400002,2,,1,,,,,,,,,,1,4,2,2,3,2,3,5,4,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,9,-1
R_7NIwYPoMroHLeOF,Default Response Set,Anonymous,,,194.118.141.193,0,5/2/16 15:21,5/2/16 15:29,1,800001,2,,1,,,,,,,,,,1,4,2,2,4,1,4,5,5,5,4,2,,6,5,3,2,6,3,2,3,3,5,2,5,5,5,3,6,6,2,5,2,6,6,5,3,3,5,1,5,6,4,3,2,6,5,2,3,5,6,2,1,,,,,,3,1,,,,,,,,,,3,2,3,1,1,1,2,3,1,3,5,4,5,3,3,4,2,1,2,1,2,3,1,1,3,2,1,12,5,48.30189514,14.24560547,-1
R_2l4On2H82kOEUbb,Default Response Set,Anonymous,,,87.171.231.78,0,5/2/16 15:24,5/2/16 15:30,1,400008,,,1,,,,,,,,,,1,5,2,1,3,1,3,5,5,5,1,4,,6,5,2,4,4,2,4,4,5,6,2,4,4,5,6,6,6,5,4,5,4,5,6,6,4,4,3,6,4,4,5,2,5,6,2,2,2,6,6,1,,,,,,,,,,,,,,,4,1,3,2,2,3,3,1,2,3,2,5,,,,,,,4,4,4,4,4,4,1,1,4,3,2,23,2,48.86959839,8.670394897,-1
R_a9SstuLocMKnXTf,Default Response Set,Anonymous,,,193.83.170.90,0,5/2/16 15:31,5/2/16 15:32,1,800007,2,,1,,,,,,,,,,1,6,2,2,1,1,1,1,2,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.61120605,13.83599854,-1
R_bEnUG1GnJIH0cCx,Default Response Set,Anonymous,,,77.23.51.36,0,5/2/16 15:24,5/2/16 15:32,1,400004,2,,1,,,,,,,,,,1,3,3,2,3,2,4,5,5,5,3,4,,3,5,4,5,5,3,4,4,4,5,4,3,5,4,3,3,6,4,4,6,5,5,6,6,2,4,4,6,4,3,3,2,4,5,5,3,4,5,4,1,,2,1,,,,,,,,,,,,,,2,1,2,2,2,2,1,1,1,5,,,,,,,2,2,2,2,2,2,2,4,2,2,1,8,3,52.20550537,8.055404663,-1
