V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,gid,Q1.1,Q1.2,Q2.1,Q2.2_1,Q2.2_2,Q2.2_3,Q2.2_4,Q2.2_5,Q2.2_6,Q2.2_7,Q2.2_8,Q2.2_9,Q2.2_10,Q2.3,Q2.4_orange,Q2.4_banana,Q2.4_strawberry,Q2.4_apples,Q2.4_blueberries,Q2.4_feijoas,Q2.4_rambutan,Q2.4_loquat,Q2.4_peaches,Q2.5,Q2.5_TEXT,NES_11,NES_5,NES_14,CD_4R,CON_3,NES_10,CD_7R,CD_12R,NES_1,CD_5,NES_8,CON_2,CD_1R,CD_11,CD_9,CD_3,NES_7,TECH_2,CD_13R,CON_5,NES_13,NES_3,CON_1,CD_2R,TECH_5(N),CD_8,NES_12,NES_6,CD_6,CON_4,CD_10,Q3.5_Validation,NES_15,NES_9,NES_2,TECH_3(N),NES_4,TECH_1,TECH_4,Q3.7,Q3.7_TEXT,Q3.8,Q3.8_TEXT,Q4.1,Q4.2,Q5.1,Q5.2,Q6.1,Q6.2,Q7.1_iron,Q7.1_vitC,Q7.1_potassium,Q7.1_calcium,Q7.1_vitD,Q7.2,Q7.3,Q8.1,Q8.2,Q9.1,Q9.2,Q9.3,Q9.4,Q9.5,Q9.6,Q9.7,Q9.8,Q9.9,Q10.1,Q9.2_1,Q9.2_2,Q9.2_3,Q9.2_4,Q9.2_5,Q9.2_6,Q10.3_1,Q10.3_2,Q10.3_3,Q10.3_4,Q10.3_5,Q10.3_6,Q11.1,Q11.2,Q11.3,Q11.4,Q11.5,Q11.6,Q11.7,Q11.8,Q11.8_TEXT,Q11.9,Q11.10_1,Q11.10_2,Q11.10_3,Q11.10_4,Q11.10_5,Q11.10_6,Q11.10_6_TEXT,LocationLatitude,LocationLongitude,LocationAccuracy
R_dnBStvlda9ODaLz,Default Response Set,Anonymous,,,170.122.0.5,0,5/2/16 15:42,5/2/16 15:42,1,200011,2,,1,1,,1,,,,,,,,4,3,3,2,2,2,5,4,4,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.00520325,-76.32460022,-1
R_25BSTuHADOT4PAx,Default Response Set,Anonymous,,,72.230.219.144,0,5/2/16 15:34,5/2/16 15:46,1,200010,2,,1,,,,,,,,,,1,7,2,1,2,2,2,5,5,5,3,9,,5,7,5,3,7,3,1,2,3,6,3,5,2,5,5,5,7,5,3,7,5,5,7,5,3,5,5,2,6,3,5,2,7,6,2,3,2,6,7,1,,2,,,,,,,,1,1,2,2,2,3,1,,,2,1,2,2,1,2,3,3,1,5,,,,,,,3,4,3,4,2,3,1,1,1,2,1,33,47,2,,2,1,,,,,,,42.32299805,-75.50740051,-1
R_0dIUrUoinv3CFAV,Default Response Set,Anonymous,,,68.68.96.18,0,5/2/16 16:33,5/2/16 16:33,1,200012,2,,1,,,,,,,,,,1,4,1,1,1,1,1,1,1,1,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.33380127,-121.8914948,-1
R_6n9VIkjPIMwRgi1,Default Response Set,Anonymous,,,68.68.96.18,0,5/2/16 16:33,5/2/16 16:34,1,200012,2,,1,,,,,,,,,,1,4,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.33380127,-121.8914948,-1
R_5zt99RUobolYYhT,Default Response Set,Anonymous,,,68.68.96.18,0,5/2/16 16:34,5/2/16 16:34,1,200012,2,,1,,,,,,,,,,1,5,1,2,2,1,2,2,1,5,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.33380127,-121.8914948,-1
R_4YeTQ1aPk6wZfut,Default Response Set,Anonymous,,,23.89.245.150,0,5/2/16 16:34,5/2/16 16:35,1,200014,2,,1,,,,,,,,,,1,4,1,1,1,1,1,1,1,1,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.74209595,-74.00180054,-1
R_3dC5jIO7pdPEk4t,Default Response Set,Anonymous,,,108.62.139.158,0,5/2/16 16:35,5/2/16 16:36,1,200016,2,,1,,,,,,,,1,,,4,2,1,1,2,2,2,1,1,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.64509583,-73.94499969,-1
R_5ouxPu8rovVBlS5,Default Response Set,Anonymous,,,104.7.247.17,0,5/2/16 16:34,5/2/16 16:43,1,200015,2,,1,,,,,,,,,,1,8,4,1,3,3,4,5,5,5,4,9,,4,5,5,4,4,7,2,4,3,4,5,3,4,4,4,4,4,4,4,5,3,6,7,4,4,5,7,5,5,4,5,2,4,7,4,2,5,4,4,3,,2,,,,,,6,1,,,,,,,,,,3,3,3,3,3,3,3,3,3,2,7,7,4,7,7,7,4,4,4,4,4,4,1,5,5,2,1,25,55,4,,2,1,,,,,,,34.89790344,-88.57939911,-1
R_9TEVlFTO416rd7D,Default Response Set,Anonymous,,,108.196.55.54,0,5/2/16 16:38,5/2/16 16:44,1,200018,2,,1,,,,,,,,,,1,7,1,1,2,2,1,5,5,5,2,9,,6,6,4,4,6,2,3,4,5,4,3,5,5,4,4,4,6,6,4,6,6,6,6,4,3,4,3,5,4,6,4,2,7,7,,1,5,7,6,1,,1,,3,1,,,,,,,,,,,,,,1,1,1,1,2,1,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,2,1,1,4,3,2,11,47,3,,2,1,,,,,,,35.98170471,-84.1289978,-1
R_2cuu7g3V5ZB8WCF,Default Response Set,Anonymous,,,142.91.40.155,0,5/2/16 16:42,5/2/16 16:44,1,200019,2,,1,,,1,,,,,,,,5,1,1,1,1,1,1,1,1,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.37690735,-119.1844025,-1
R_6rRtDg7hfXZxIl7,Default Response Set,Anonymous,,,216.230.226.42,0,5/2/16 16:37,5/2/16 16:46,1,200017,2,,1,,,,,,,,,,1,6,1,1,1,1,2,5,5,5,1,9,,6,7,5,5,7,5,4,4,6,5,6,7,5,5,5,6,7,5,4,7,7,7,7,5,6,5,6,7,6,7,6,2,5,5,5,5,4,6,6,1,,1,,,,,,,,,,,,,,,7,1,2,2,2,2,2,1,2,1,2,2,4,4,4,4,4,4,1,1,1,1,1,2,2,1,6,4,2,45,33,6,,1,1,,,,,,,29.9342041,-95.40570068,-1
R_cCsT9RZqPDoH8dD,Default Response Set,Anonymous,,,97.78.165.66,0,5/2/16 16:33,5/2/16 16:47,1,200013,1,1,1,,,,,,,,,,1,7,1,1,1,1,1,5,5,5,1,9,,7,7,4,3,7,1,1,3,4,7,7,7,3,7,7,7,7,4,2,7,7,7,7,2,4,7,7,4,7,1,7,2,7,7,3,3,4,7,7,1,,1,,7,1,,,,,,,,,,,,,,3,3,3,1,1,3,2,3,1,2,4,4,4,4,4,5,1,1,1,1,1,1,2,1,6,3,2,38,42,5,,2,1,,,,,,,42.4980011,-83.40720367,-1
R_bIsRvMzbYrUGRSZ,Default Response Set,Anonymous,,,173.16.65.104,0,5/2/16 16:43,5/2/16 16:50,1,200020,2,,1,,,,,,,,,,1,5,3,1,3,3,4,5,5,5,4,9,,5,5,3,4,7,2,3,3,6,5,3,4,4,5,5,5,7,5,4,6,4,5,6,4,4,5,4,4,5,6,5,2,6,6,3,5,3,4,4,1,,5,none,,,4,1,,,,,,,,,,,,2,2,2,1,1,2,1,2,2,5,,,,,,,1,1,1,1,1,1,2,3,4,3,1,16,27,2,,2,1,,,,,,,41.91369629,-90.27110291,-1
R_3WewV5QKlZ2t8Lr,Default Response Set,Anonymous,,,73.236.114.230,0,5/2/16 17:38,5/2/16 17:38,1,200021,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.64559937,-79.94329834,-1
R_eEbfxcZAKixLS7j,Default Response Set,Anonymous,,,199.212.87.62,0,5/2/16 17:46,5/2/16 17:47,1,200022,2,,1,,,,,,,,1,,,1,2,1,1,1,1,5,5,5,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.06739807,-118.2422943,-1
R_0Jawcmhga3Mx09L,Default Response Set,Anonymous,,,45.59.22.133,0,5/2/16 18:37,5/2/16 18:38,1,200025,2,,1,,,,,,,,,,1,4,2,1,1,2,2,1,2,1,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.34240723,-71.08779907,-1
R_6RnqTSksnuZs4uN,Default Response Set,Anonymous,,,73.19.166.148,0,5/2/16 18:38,5/2/16 18:38,1,200027,2,,2,,,,,,,,,,1,1,5,5,5,5,5,5,5,5,5,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.16079712,-85.625,-1
R_eyZhZOvVuYJTcnr,Default Response Set,Anonymous,,,199.48.246.87,0,5/2/16 18:38,5/2/16 18:38,1,200032,2,,1,,,,,,,,,,1,3,4,4,4,3,3,4,4,4,4,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.8500061,-87.65000153,-1
R_296XZnqaDCYKFXT,Default Response Set,Anonymous,,,174.34.164.123,0,5/2/16 18:38,5/2/16 18:39,1,200028,2,,1,,,,,,,,,,1,4,2,1,3,1,2,3,1,2,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.9223938,-87.65239716,-1
R_57w7yNB8bgapp1X,Default Response Set,Anonymous,,,104.238.221.80,0,5/2/16 18:38,5/2/16 18:40,1,200029,2,,1,,,,,,,,,,1,4,1,1,2,2,2,1,1,2,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.08770752,-115.1484985,-1
R_1QUglb1QfhY4vrL,Default Response Set,Anonymous,,,162.244.82.165,0,5/2/16 18:39,5/2/16 18:41,1,200038,2,,1,,,,,,,,,,1,4,1,1,1,1,2,1,3,2,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.67599487,-73.96289825,-1
R_296tLwfO1npfF5z,Default Response Set,Anonymous,,,71.58.225.85,0,5/2/16 18:38,5/2/16 18:41,1,200034,2,,1,,,,,,,,,,1,8,3,2,2,2,5,5,5,5,5,9,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.36560059,-75.83959961,-1
R_0HxnTEhTXLbScst,Default Response Set,Anonymous,,,172.102.215.27,0,5/2/16 18:39,5/2/16 18:41,1,200039,2,,1,,,,,,,,,,1,4,2,3,1,3,3,2,2,2,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.78059387,-80.18260193,-1
R_eG2TgBQXbv8xHJb,Default Response Set,Anonymous,,,107.161.163.3,0,5/2/16 18:41,5/2/16 18:42,1,200043,1,1,1,,,,,,,,,,1,4,2,1,1,3,3,2,2,2,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.72140503,-74.00520325,-1
R_6ncaci1GKuVhTbD,Default Response Set,Anonymous,,,68.3.137.87,0,5/2/16 18:38,5/2/16 18:45,1,200030,2,,1,,,,,,,,,,1,8,4,3,3,4,2,5,5,5,4,9,,5,5,4,4,1,4,4,4,4,4,4,1,4,4,4,4,7,4,4,1,5,4,4,4,4,4,4,4,4,1,4,2,4,6,4,4,4,4,4,1,,1,,,,,,,,2,2,2,2,2,5,1,,,3,3,3,1,1,3,3,3,1,4,4,4,5,4,4,4,3,4,4,4,4,4,2,5,6,1,,3,59,3,,2,1,,,,,,,33.6118927,-111.8906021,-1
R_7OkX7xgT0Vts9Jr,Default Response Set,Anonymous,,,192.211.49.200,0,5/2/16 18:42,5/2/16 18:45,1,200044,2,,1,,,,,,,,,,1,4,2,2,1,1,2,2,1,1,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.31059265,-97.72270203,-1
