V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,gid,Q1.1,Q1.2,Q2.1,Q2.2_1,Q2.2_2,Q2.2_3,Q2.2_4,Q2.2_5,Q2.2_6,Q2.2_7,Q2.2_8,Q2.2_9,Q2.2_10,Q2.3,Q2.4_orange,Q2.4_banana,Q2.4_strawberry,Q2.4_apples,Q2.4_blueberries,Q2.4_feijoas,Q2.4_rambutan,Q2.4_loquat,Q2.4_peaches,Q2.5,Q2.5_TEXT,NES_11,NES_5,NES_14,CD_4R,CON_3,NES_10,CD_7R,CD_12R,NES_1,CD_5,NES_8,CON_2,CD_1R,CD_11,CD_9,CD_3,NES_7,TECH_2,CD_13R,CON_5,NES_13,NES_3,CON_1,CD_2R,TECH_5(N),CD_8,NES_12,NES_6,CD_6,CON_4,CD_10,Q3.5_Validation,NES_15,NES_9,NES_2,TECH_3(N),NES_4,TECH_1,TECH_4,Q3.7,Q3.7_TEXT,Q3.8,Q3.8_TEXT,Q4.1,Q4.2,Q5.1,Q5.2,Q6.1,Q6.2,Q7.1_iron,Q7.1_vitC,Q7.1_potassium,Q7.1_calcium,Q7.1_vitD,Q7.2,Q7.3,Q8.1,Q8.2,Q9.1,Q9.2,Q9.3,Q9.4,Q9.5,Q9.6,Q9.7,Q9.8,Q9.9,Q10.1,Q9.2_1,Q9.2_2,Q9.2_3,Q9.2_4,Q9.2_5,Q9.2_6,Q10.3_1,Q10.3_2,Q10.3_3,Q10.3_4,Q10.3_5,Q10.3_6,Q11.1,Q11.2,Q11.3,Q11.4,Q11.5,Q11.6,Q11.7,Q11.8,Q11.8_TEXT,Q11.9,Q11.10_1,Q11.10_2,Q11.10_3,Q11.10_4,Q11.10_5,Q11.10_6,Q11.10_6_TEXT,LocationLatitude,LocationLongitude,LocationAccuracy,RID
R_3h2lCFqGIfv6k9n,Default Response Set,Anonymous,,,107.2.22.52,0,5/3/2016 0:45,5/3/2016 0:51,1,200133,2,,1,,,,,,,,,,1,7,2,2,1,2,2,5,5,5,2,9,,3,3,4,5,7,7,3,5,1,5,6,7,4,5,4,5,6,7,4,7,2,6,6,4,6,5,4,5,5,3,4,2,1,1,4,1,6,7,6,1,,1,,2,1,,,,,,,,,,,,,,2,1,2,2,1,3,1,1,1,2,1,1,1,1,2,4,4,4,4,4,4,4,2,5,1,2,1,3,41,4,,2,1,,,,,,,32.3368988,-111.0502014,-1,
R_784lI6LlxlzM4eN,Default Response Set,Anonymous,,,45.33.141.49,0,5/3/2016 3:33,5/3/2016 3:45,1,200150,2,,1,,,,,,,,,,1,6,1,2,3,1,3,5,5,5,3,9,,5,6,3,2,6,3,1,3,5,6,2,5,2,5,7,6,4,5,2,5,6,7,5,1,3,6,5,3,6,5,7,2,6,6,3,1,2,5,4,1,,2,,3,1,,,,,,,,,,,,,,3,2,3,1,1,2,1,2,1,4,4,4,4,4,4,4,2,2,2,2,2,2,2,6,1,1,,25,31,4,,2,1,,,,,,,37.25390625,-122.063797,-1,
R_bq68Wd1WHd5N0Dr,Default Response Set,Anonymous,,,74.62.66.46,0,5/3/2016 4:36,5/3/2016 4:47,1,200167,2,,1,,,,,,,,,,1,8,2,4,4,1,3,5,5,5,3,9,,5,6,4,3,5,3,1,5,3,7,4,3,3,7,6,7,7,3,3,6,4,4,6,5,3,6,,6,7,1,7,2,4,5,5,2,3,7,5,3,,2,,3,1,,,,,,,,,,,,,,1,1,2,2,1,2,1,2,1,4,5,5,4,4,3,3,4,5,4,4,5,3,1,5,3,1,,26,55,4,,1,1,,,,,1,hispanic,39.07159424,-94.62889862,-1,
R_cAwiojVXLn1NP37,Default Response Set,Anonymous,,,132.106.254.2,0,5/3/2016 7:50,5/3/2016 7:52,1,200224,2,,1,,,,,,,,,,1,4,4,1,2,1,1,5,5,5,3,9,,6,6,6,7,7,6,5,5,5,6,5,4,6,6,6,6,5,6,6,6,6,5,6,6,5,6,5,5,5,6,5,2,6,6,6,6,6,5,5,1,,2,,3,1,,,,,,,,,,,,,,2,2,2,1,1,1,2,1,1,3,3,3,5,4,3,3,4,4,3,4,4,3,2,1,3,4,3,26,16,4,,2,1,,,,,,,38.48139954,-92.12729645,-1,
R_bmgB4r8KHcrT70x,Default Response Set,Anonymous,,,67.235.111.212,0,5/3/2016 8:36,5/3/2016 8:48,1,200234,2,,1,,,,,,,,,,1,6,1,1,2,2,2,5,5,5,2,9,,2,4,2,3,7,4,3,4,2,6,5,3,3,4,5,5,2,3,4,7,2,3,6,3,5,5,6,5,5,5,4,2,5,6,3,5,3,3,3,1,,4,,6,1,,,,,,,,,,,,,,3,3,3,1,1,3,2,3,1,5,,,,,,,4,4,5,5,6,4,2,6,1,5,1,44,37,2,,2,1,,,,,,,36.53649902,-82.46980286,-1,
R_bruv8vHSDkxCgp7,Default Response Set,Anonymous,,,71.62.207.221,0,5/3/2016 9:40,5/3/2016 9:49,1,200238,2,,1,,,,,,,,,,1,5,3,2,4,5,5,5,5,5,4,9,,2,3,6,5,7,6,4,5,2,5,6,5,7,7,7,6,7,6,3,6,6,7,7,7,2,7,6,6,6,5,3,2,5,5,6,2,7,7,7,1,,5,BOA,2,1,,,,,,,,,,,,,,2,1,2,1,1,2,1,2,2,5,,,,,,,1,1,1,1,1,1,1,1,6,3,2,48,25,4,,2,,1,,,,,,37.46769714,-77.58999634,-1,
R_2rzqc5KRWcz8Ku9,Default Response Set,Anonymous,,,64.251.146.130,0,5/3/2016 9:48,5/3/2016 10:02,1,200249,2,,1,,,,,,,,,,1,8,2,1,3,2,3,5,5,5,3,9,,5,6,5,5,5,3,4,2,6,5,3,3,4,5,4,6,5,5,3,4,3,6,6,4,3,3,5,5,4,3,5,2,6,5,2,3,2,6,5,1,,2,,6,1,,,,,,,,,,,,,,3,2,3,2,2,2,3,2,3,3,4,3,5,5,5,4,3,3,4,4,3,3,1,5,4,2,1,26,62,3,,2,1,,,,,,,37.92649841,-91.77909851,-1,
R_5mWhgcAo4yqgfdP,Default Response Set,Anonymous,,,67.183.38.36,0,5/3/2016 10:47,5/3/2016 10:54,1,200273,2,,1,,,1,,,,,1,1,,8,2,2,2,2,2,5,5,5,4,9,,4,4,4,3,5,4,3,3,4,5,4,4,4,5,4,5,5,6,4,5,4,4,5,,,5,4,4,4,4,4,2,4,4,4,3,4,5,5,1,,4,,4,1,,,,,,,,,,,,,,2,3,2,1,1,1,2,1,2,5,,,,,,,4,4,4,4,4,4,2,5,3,1,,49,55,2,,2,1,,,,,,,47.39089966,-122.2637024,-1,
R_25hKqs8rXDTfsnr,Default Response Set,Anonymous,,,149.136.33.253,0,5/3/2016 10:49,5/3/2016 10:56,1,200280,2,,1,1,1,,,,,,,,,7,4,3,2,2,3,5,5,5,3,9,,5,3,4,3,7,3,,,,,,,3,4,4,4,3,5,3,7,4,4,6,3,3,5,4,5,5,5,5,2,5,5,4,3,5,5,4,1,,1,,2,1,,,,,,,,,,,,,,2,2,2,1,1,2,2,1,1,4,5,5,6,6,6,6,3,3,3,3,3,2,2,1,6,2,1,5,44,4,,2,1,,,,,,,34.04620361,-117.6741943,-1,
R_cIx57QqeyUslsTr,Default Response Set,Anonymous,,,71.162.96.58,0,5/3/2016 10:57,5/3/2016 11:05,1,200296,2,,1,,,,,,,,,,1,8,4,5,3,4,3,5,5,5,4,9,,6,4,2,4,5,1,3,4,5,5,4,2,4,5,5,6,6,4,4,4,6,6,6,4,3,5,3,4,5,1,5,2,4,6,4,2,5,4,3,1,,2,,6,1,,,,,,,,,,,,,,3,3,3,1,1,3,3,3,1,3,6,5,5,4,5,6,4,3,4,3,3,4,2,3,1,1,,22,50,1,,2,1,,,,,,,42.34240723,-71.08779907,-1,
R_eEQoNTnpkLgXG05,Default Response Set,Anonymous,,,70.125.15.207,0,5/3/2016 11:01,5/3/2016 11:12,1,200302,2,,1,,,,,,,,,,1,8,1,1,1,2,1,5,5,5,2,9,,3,6,2,4,5,3,3,3,1,5,3,5,4,4,4,5,7,5,3,6,6,6,7,4,3,5,5,5,5,2,5,2,5,7,1,2,2,5,5,1,,1,,4,1,,,,,,,,,,,,,,3,3,3,2,1,2,3,3,1,3,3,3,3,3,2,2,3,3,3,3,3,3,1,5,4,2,1,10,61,4,,2,1,,,,,,,28.08590698,-82.72669983,-1,
R_8d0ijkUKkK8RxAx,Default Response Set,Anonymous,,,104.136.96.93,0,5/3/2016 11:13,5/3/2016 11:16,1,200326,2,,1,,,,,,,,,,1,5,3,2,2,2,2,5,5,5,3,9,,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2,7,7,7,7,7,7,7,1,,2,,2,1,,,,,,,,,,,,,,2,1,2,2,1,2,1,1,1,5,,,,,,,4,4,4,4,4,4,1,6,3,3,1,10,28,2,,2,1,,,,,,,28.54449463,-81.37059784,-1,
R_agWGKfCNyZpGh2l,Default Response Set,Anonymous,,,199.97.121.99,0,5/3/2016 11:16,5/3/2016 11:22,1,200339,2,,1,,,,,,,,,,1,6,2,3,2,2,5,5,5,5,3,9,,6,7,7,1,7,3,1,1,7,7,7,7,2,6,6,7,4,3,2,6,6,6,7,2,6,6,4,5,6,5,6,2,6,6,3,6,3,2,4,1,,1,,6,1,,,,,,,,,,,,,,2,3,3,1,1,3,2,3,1,3,4,3,3,3,3,3,4,4,4,4,4,4,1,1,5,4,3,33,37,4,,2,1,,,,,,,40.96180725,-73.82389832,-1,
R_1GGcg6KBFGmAo5v,Default Response Set,Anonymous,,,208.102.23.93,0,5/3/2016 11:16,5/3/2016 11:26,1,200338,2,,1,,1,1,,,,1,,,,7,4,4,4,3,4,5,5,5,4,9,,4,5,3,4,6,4,4,5,3,4,4,2,4,4,3,4,6,4,3,6,3,5,4,4,4,3,3,5,4,3,4,2,3,5,2,3,4,5,3,3,,2,,5,1,,,,,,,,,,,,,,2,3,2,1,1,1,2,1,1,4,5,5,5,5,5,5,3,3,4,3,4,3,2,1,5,2,1,36,47,2,,2,1,,,,,,,39.16229248,-84.89109802,-1,
R_3QWF2tifaFkHSjX,Default Response Set,Anonymous,,,70.187.86.231,0,5/3/2016 11:22,5/3/2016 11:31,1,200354,2,,1,,,,,,,,,,1,8,2,1,2,3,1,5,5,3,2,9,,5,3,6,6,5,5,3,5,3,3,5,4,6,2,3,3,4,6,3,5,4,4,5,5,2,3,5,5,3,3,3,2,3,6,5,3,6,6,6,1,,1,,2,1,,,,,,,,,,,,,,2,2,2,2,1,2,1,1,1,2,3,3,3,3,3,3,2,2,2,2,2,2,1,5,4,2,1,10,58,4,,2,1,,,,,,,29.68510437,-82.43240356,-1,
R_5ulxEkXjtylP3xP,Default Response Set,Anonymous,,,166.176.56.229,0,5/3/2016 11:18,5/3/2016 11:31,1,200344,2,,1,,,,,,,,,,1,6,2,1,2,1,2,5,5,5,3,9,,4,6,4,4,7,4,2,2,1,5,4,5,3,4,4,4,3,3,3,7,5,5,5,4,5,4,6,2,4,4,4,2,6,6,5,4,2,3,2,1,,2,,7,1,,,,,,,,,,,,,,3,3,3,1,1,3,2,3,1,2,1,4,5,4,4,4,3,3,6,3,4,4,2,3,8,7,5,5,39,5,,2,1,,,,,,,34.05220032,-118.2436981,-1,
R_1T6ubMu57ZX5DzT,Default Response Set,Anonymous,,,207.98.184.237,0,5/3/2016 11:25,5/3/2016 11:32,1,200365,2,,1,,,,,,,,,,1,8,3,2,2,3,5,5,5,5,4,9,,2,6,4,4,6,6,2,2,2,6,4,2,4,6,6,6,6,4,1,6,6,7,6,2,6,6,6,6,6,1,6,2,6,6,4,7,4,4,4,1,,2,,4,1,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,1,4,5,5,5,5,5,5,5,5,5,5,5,5,2,5,2,2,1,11,53,4,,2,,1,,,,,,33.34570313,-81.97219849,-1,
R_bHp66n4nMp25gfX,Default Response Set,Anonymous,,,68.201.127.29,0,5/3/2016 11:25,5/3/2016 11:34,1,200368,2,,1,,,,,,,,,,1,8,3,1,2,4,4,5,5,5,3,9,,5,6,5,1,7,5,1,4,5,7,5,4,3,5,6,6,7,5,1,7,6,7,5,3,3,7,4,7,7,5,6,2,4,7,5,1,6,6,6,1,,1,,2,1,,,,,,,,,,,,,,2,1,3,2,1,3,1,1,1,3,4,4,4,4,4,4,4,4,4,4,4,4,2,5,1,1,,45,68,3,,2,1,,,,,,,30.05039978,-94.17430115,-1,
R_5tpicoxhjJ1Kb4h,Default Response Set,Anonymous,,,73.134.123.39,0,5/3/2016 11:32,5/3/2016 11:38,1,200392,2,,1,,,,,,,,,,1,4,2,1,1,1,3,5,5,5,4,9,,5,4,5,4,6,6,4,5,4,4,5,6,5,4,5,4,6,6,5,6,5,6,5,4,2,5,5,6,5,6,4,2,4,6,4,2,5,6,5,1,,1,,4,1,,,,,,,,,,,,,,3,3,3,1,1,3,2,3,1,4,3,2,3,3,3,3,3,2,2,3,3,2,2,6,5,2,1,9,14,4,,2,1,,,,,,,38.90849304,-77.0177002,-1,
R_7aJYpwkA9H6Qab3,Default Response Set,Anonymous,,,68.98.219.201,0,5/3/2016 11:35,5/3/2016 11:42,1,200401,2,,1,,,,,,,,,,1,4,1,1,1,1,2,5,5,5,1,9,,4,4,5,4,7,5,5,3,4,3,6,4,6,3,3,4,5,5,4,7,5,4,7,3,4,4,5,4,4,1,4,2,5,4,5,2,4,5,7,1,,5,bank of america,3,1,,,,,,,,,,,,,,2,2,1,1,2,2,2,2,2,5,,,,,,,1,3,2,2,1,1,2,3,3,4,3,3,13,2,,1,1,,,,,,,33.53349304,-112.2637024,-1,
R_1YNea8wLkDIo3Z3,Default Response Set,Anonymous,,,104.128.209.1,0,5/3/2016 11:34,5/3/2016 11:42,1,200397,2,,1,,,,,,,,,,1,7,3,3,3,1,3,5,5,5,3,9,,6,6,6,2,7,1,2,1,5,7,4,2,3,6,6,6,6,4,2,7,5,5,7,2,2,6,6,6,6,4,6,2,7,6,5,1,5,6,6,3,,2,,3,1,,,,,,,,,,,,,,2,2,2,1,1,2,1,1,1,3,4,1,4,3,4,4,2,1,2,1,1,1,2,1,3,2,1,39,45,4,,2,1,,,,,,,40.54649353,-80.05249786,-1,
R_ehwUaSTdLmMKhFP,Default Response Set,Anonymous,,,97.107.91.252,0,5/3/2016 11:38,5/3/2016 11:45,1,200408,2,,1,,,,,,,,,,1,5,2,2,3,2,1,5,5,5,5,9,,5,6,4,4,6,2,3,5,7,4,2,3,5,4,4,4,6,2,3,6,4,5,4,5,3,3,4,4,4,1,4,2,6,7,4,4,4,4,1,1,,1,,1,1,,,,,,,,,,,,,,2,1,2,2,1,2,1,1,1,4,4,3,6,4,5,4,4,3,4,3,4,3,2,3,3,3,1,23,30,2,,2,1,,,,,,,41.86880493,-83.68099976,-1,
R_72vyt9bEPGWzdKl,Default Response Set,Anonymous,,,50.118.172.216,0,5/3/2016 11:37,5/3/2016 11:50,1,200404,2,,1,,,,,,,,,,1,4,1,1,1,1,1,5,5,5,1,9,,4,4,4,5,6,4,4,3,4,4,4,4,5,4,4,4,5,6,4,6,4,4,5,4,4,4,4,6,4,6,3,2,4,4,4,4,4,4,4,1,,1,,4,1,,,,,,,,,,,,,,2,2,2,1,2,2,2,1,1,3,3,3,2,2,2,2,1,1,1,1,1,1,1,1,5,4,3,39,18,4,,2,1,,,,,,,37.33380127,-121.8914948,-1,
R_6gtHyFw7ut7n5yd,Default Response Set,Anonymous,,,96.233.139.78,0,5/3/2016 11:51,5/3/2016 11:57,1,200432,2,,1,,,,,,,,,,1,6,1,1,2,1,1,5,5,5,3,9,,5,6,3,3,5,3,1,3,5,6,3,4,3,5,5,6,7,5,3,5,5,5,6,3,4,6,4,5,5,4,6,2,5,5,4,3,3,5,5,1,,4,,4,1,,,,,,,,,,,,,,2,3,2,3,2,1,3,1,2,5,,,,,,,3,3,4,3,4,3,2,1,3,4,2,41,31,7,technical school,2,1,,,,,,,41.76939392,-71.46759796,-1,
R_eLQzrtHeZSK5FHL,Default Response Set,Anonymous,,,71.105.61.113,0,5/3/2016 11:55,5/3/2016 12:05,1,200442,2,,1,,,,,,,,,,1,8,3,1,2,3,3,5,5,5,3,9,,2,2,1,5,5,7,2,3,3,5,5,2,5,5,5,,7,6,3,6,2,6,6,3,4,6,1,7,5,3,4,2,2,7,3,5,6,4,2,1,,1,,2,1,,,,,,,,,,,,,,2,1,2,1,2,2,1,1,1,5,,,,,,,6,4,6,6,7,2,2,1,3,2,1,5,53,3,,2,1,,,,,,,34.4954071,-117.3685989,-1,
R_6JAW5wktuyvjgJT,Default Response Set,Anonymous,,,24.151.221.118,0,5/3/2016 12:01,5/3/2016 12:10,1,200454,2,,1,,,,,,,,,,1,7,3,3,3,4,5,5,5,5,2,9,,4,5,5,4,2,5,4,3,7,4,4,3,4,4,5,4,5,3,2,5,5,5,4,4,4,5,5,5,6,2,4,2,4,6,5,4,3,5,4,7,dollar stores,2,,2,1,,,,,,,,,,,,,,2,1,2,2,2,1,2,1,1,4,4,4,7,4,4,4,5,5,3,4,4,4,1,2,4,1,,44,49,4,,2,1,,,,,,,35.65020752,-83.97820282,-1,
R_3xcJEVhS6rAmshT,Default Response Set,Anonymous,,,75.1.117.123,0,5/3/2016 12:03,5/3/2016 12:14,1,200457,2,,1,,1,,,,,,,,,8,1,2,2,2,4,5,5,5,3,9,,7,7,,3,4,1,2,3,7,6,1,1,4,5,6,6,7,4,2,4,7,7,7,4,5,6,1,1,6,4,6,2,7,7,1,3,4,4,4,3,,4,,4,1,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,5,,,,,,,1,1,4,4,3,3,2,5,1,2,1,45,57,7,vocational,2,1,,,,,,,29.522995,-98.52700043,-1,
R_eVtKNVt3ymtE5LL,Default Response Set,Anonymous,,,170.232.28.4,0,5/3/2016 12:15,5/3/2016 12:19,1,200469,2,,1,,,1,,,,,,,,4,4,1,1,1,2,5,5,5,4,9,,5,5,3,3,5,5,3,3,5,5,4,4,3,5,5,5,5,3,3,5,5,5,5,3,3,5,3,5,6,4,5,2,4,6,4,2,5,5,4,1,,4,,3,1,,,,,,,,,,,,,,3,3,3,1,1,3,2,3,1,4,4,4,4,4,4,4,6,6,6,6,6,6,1,1,5,3,2,23,17,3,,2,1,,,,,,,42.42500305,-83.37439728,-1,
R_etYO4vh2lJxk2CF,Default Response Set,Anonymous,,,70.117.10.9,0,5/3/2016 12:19,5/3/2016 12:33,1,200475,2,,1,,,,,,,,,,1,5,1,2,1,3,3,5,5,5,3,9,,4,4,4,3,6,4,2,3,4,3,4,4,2,5,6,6,6,3,3,6,5,5,6,2,4,6,3,6,6,4,5,2,4,4,3,2,3,4,4,7,HEB ,4,,6,1,,,,,,,,,,,,,,3,3,3,1,1,3,3,3,3,5,,,,,,,4,4,4,4,4,5,2,3,5,5,4,45,23,2,,2,1,,,,,,,29.40370178,-98.72460175,-1,
R_cRYcTnEKK62Sg05,Default Response Set,Anonymous,,,67.166.137.3,0,5/3/2016 12:23,5/3/2016 12:33,1,200482,2,,1,,,,,,,,,,1,7,2,2,1,2,2,5,5,4,3,9,,4,7,4,3,6,1,1,2,5,7,2,6,2,7,7,6,7,4,2,7,7,7,4,2,4,5,4,6,7,6,5,2,7,6,1,2,4,5,5,7,sprouts,4,,7,1,,,,,,,,,,,,,,3,3,3,3,1,3,2,3,1,2,7,7,7,7,7,7,1,1,2,2,1,1,2,2,3,1,,5,46,5,,2,1,,,,,,,38.49499512,-121.5305023,-1,
R_bsjvraUhggN1sXP,Default Response Set,Anonymous,,,174.29.42.149,0,5/3/2016 12:29,5/3/2016 12:37,1,200500,2,,1,,,,,,,,1,,,7,3,3,4,3,5,5,5,5,4,9,,5,6,6,3,5,4,1,2,3,5,4,1,3,4,6,5,6,2,2,5,5,5,4,2,5,6,3,6,6,2,6,2,5,6,4,3,4,3,2,1,,5,,4,1,,,,,,,,,,,,,,2,1,2,2,1,2,1,1,1,5,,,,,,,2,2,4,4,2,4,2,3,3,2,1,6,42,2,,2,1,,,,,,,39.67619324,-104.887001,-1,
