V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,gid,Q1.1,Q1.2,Q2.1,Q2.2_1,Q2.2_2,Q2.2_3,Q2.2_4,Q2.2_5,Q2.2_6,Q2.2_7,Q2.2_8,Q2.2_9,Q2.2_10,Q2.3,Q2.4_orange,Q2.4_banana,Q2.4_strawberry,Q2.4_apples,Q2.4_blueberries,Q2.4_feijoas,Q2.4_rambutan,Q2.4_loquat,Q2.4_peaches,Q2.5,Q2.5_TEXT,NES_11,NES_5,NES_14,CD_4R,CON_3,NES_10,CD_7R,CD_12R,NES_1,CD_5,NES_8,CON_2,CD_1R,CD_11,CD_9,CD_3,NES_7,TECH_2,CD_13R,CON_5,NES_13,NES_3,CON_1,CD_2R,TECH_5(N),CD_8,NES_12,NES_6,CD_6,CON_4,CD_10,Q3.5_Validation,NES_15,NES_9,NES_2,TECH_3(N),NES_4,TECH_1,TECH_4,Q3.7,Q3.7_TEXT,Q3.8,Q3.8_TEXT,Q4.1,Q4.2,Q5.1,Q5.2,Q6.1,Q6.2,Q7.1_iron,Q7.1_vitC,Q7.1_potassium,Q7.1_calcium,Q7.1_vitD,Q7.2,Q7.3,Q8.1,Q8.2,Q9.1,Q9.2,Q9.3,Q9.4,Q9.5,Q9.6,Q9.7,Q9.8,Q9.9,Q10.1,Q9.2_1,Q9.2_2,Q9.2_3,Q9.2_4,Q9.2_5,Q9.2_6,Q10.3_1,Q10.3_2,Q10.3_3,Q10.3_4,Q10.3_5,Q10.3_6,Q11.1,Q11.2,Q11.3,Q11.4,Q11.5,Q11.7,Q11.8,Q11.8_TEXT,LocationLatitude,LocationLongitude,LocationAccuracy
R_4UilXopJ0KNMZOl,Default Response Set,Anonymous,,,62.43.69.61,0,5/4/2016 11:38,5/4/2016 11:51,1,600018,2,,1,,,,,,,,,,1,8,1,1,1,1,5,5,5,5,1,5,,4,4,4,2,6,6,1,4,2,6,4,4,2,5,7,7,4,5,3,4,4,4,7,5,2,7,4,6,7,4,7,2,2,7,4,6,5,6,5,1,,1,,,,,,2,1,,,,,,,,,,2,2,2,2,2,1,2,1,2,5,,,,,,,3,3,3,3,3,3,1,5,4,2,1,55,3,,39.56939697,2.65020752,-1
R_9T7lNlnmJfxjZzL,Default Response Set,Anonymous,,,80.103.111.58,0,5/4/2016 11:38,5/4/2016 11:51,1,600016,2,,1,,,,,,,,,,1,8,2,1,1,2,4,5,5,5,3,5,,4,4,4,4,5,4,4,4,4,4,4,3,4,4,4,4,5,5,4,5,4,4,5,4,4,4,5,4,4,4,4,2,5,4,4,3,4,5,5,1,,1,,,,5,1,,,,,,,,,,,,2,1,2,1,1,2,2,1,1,5,,,,,,,4,4,4,4,4,4,2,5,1,1,,53,1,,40.41650391,-3.702606201,-1
R_bem4doN0RXpNqFT,Default Response Set,Anonymous,,,194.224.155.83,0,5/4/2016 11:38,5/4/2016 11:53,1,600015,2,,1,,,,,,,,,,1,5,2,1,1,2,4,5,5,5,3,5,,5,5,5,2,,4,2,2,4,2,3,4,2,2,6,2,6,5,2,6,2,6,6,2,4,2,4,5,2,3,4,2,4,4,2,2,7,7,6,1,,1,,,,,,,,,,,,,,,4,1,2,1,2,2,1,2,1,1,1,5,,,,,,,1,2,2,2,2,2,2,1,1,1,,27,4,,40.41720581,-3.684005737,-1
R_aXGK7Q2YeI3mCyx,Default Response Set,Anonymous,,,83.53.65.244,0,5/4/2016 11:38,5/4/2016 12:04,1,600017,,,1,,,,,,,,,,1,4,1,1,1,1,4,5,5,5,3,5,,5,7,3,1,7,1,7,7,7,7,2,5,1,7,7,7,7,5,2,7,6,7,7,2,4,7,5,3,7,7,7,2,7,5,2,4,2,5,5,1,,,,,,,,,,1,1,1,1,1,5,1,,,3,1,3,2,1,3,1,3,3,5,,,,,,,6,3,4,4,4,3,2,1,5,6,1,13,2,,40.41650391,-3.702606201,-1
R_1LAPjmfHaRGELoF,Default Response Set,Anonymous,,,88.15.53.178,0,5/4/2016 12:05,5/4/2016 12:12,1,600025,2,,1,,,,,,,,,,1,4,1,1,1,1,2,5,5,5,3,5,,6,7,2,3,7,1,2,2,4,7,2,6,2,6,6,6,7,4,2,7,6,6,6,2,4,6,2,6,2,6,6,2,7,6,2,2,3,5,5,1,,1,,5,1,,,,,,,,,,,,,,3,3,3,1,1,3,2,3,1,5,,,,,,,4,4,4,4,4,4,2,2,3,4,2,19,3,,39.46670532,-0.366699219,-1
R_85DpIRdK6GIlvvv,Default Response Set,Anonymous,,,85.54.239.70,0,5/4/2016 12:04,5/4/2016 12:13,1,600023,2,,1,,,,,,,,,,1,3,3,2,2,2,3,5,5,5,2,5,,4,5,4,4,6,4,4,4,4,5,4,4,4,4,4,5,5,5,4,6,5,5,5,5,4,4,3,4,4,5,4,2,4,5,3,3,5,5,5,1,,1,,,,4,1,,,,,,,,,,,,2,1,2,2,1,2,1,1,1,5,,,,,,,1,1,1,1,1,1,2,6,2,4,1,9,4,,40.41720581,-3.684005737,-1
R_cIwZMcmSi3g06Ox,Default Response Set,Anonymous,,,87.221.116.166,0,5/4/2016 12:04,5/4/2016 12:15,1,600024,1,1,1,,,,,,,,,,1,5,1,1,1,1,3,5,5,5,1,5,,4,6,3,2,7,2,2,2,4,5,3,6,3,5,5,6,7,5,2,7,6,6,7,2,3,6,5,6,6,7,6,2,6,5,2,4,4,6,5,6,,2,,,,,,,,2,1,2,1,3,6,1,,,3,3,3,1,1,3,2,3,1,5,,,,,,,2,2,4,4,5,5,2,1,5,4,3,25,3,,41.64529419,-0.884902954,-1
R_5BHXXzvWvA2EODr,Default Response Set,Anonymous,,,83.38.235.61,0,5/4/2016 12:40,5/4/2016 12:49,1,600026,2,,1,,,,,,,,,,1,7,1,1,1,1,3,5,5,5,3,5,,2,7,6,2,7,1,1,2,6,7,1,2,2,5,6,6,7,6,2,6,6,7,7,2,2,6,1,7,6,6,7,2,6,7,3,1,3,7,6,1,,1,,,,,,,,,,,,,,,5,1,3,3,3,1,1,3,2,3,1,5,,,,,,,2,2,2,1,4,1,2,1,1,3,2,45,3,,43.40739441,-3.884994507,-1
R_a47uLGn32Og5aQt,Default Response Set,Anonymous,,,81.44.141.21,0,5/4/2016 15:42,5/4/2016 15:48,1,600034,2,,1,,,,,,,,,,1,4,1,1,1,1,1,5,5,5,2,5,,6,7,2,1,5,1,1,1,5,7,1,5,1,7,7,7,7,3,1,5,6,7,7,1,5,7,3,6,7,2,7,2,7,5,2,5,2,4,2,1,,1,,,,,,2,1,,,,,,,,,,2,2,2,1,1,2,1,2,2,5,,,,,,,2,2,3,3,3,4,1,1,4,3,2,13,3,,40.41650391,-3.702606201,-1
R_2aDJGYm1DBBlDDv,Default Response Set,Anonymous,,,95.22.142.214,0,5/4/2016 15:43,5/4/2016 15:52,1,600035,2,,1,,,,,,,,,,1,5,1,1,1,1,2,5,5,5,1,5,,7,7,6,4,6,1,3,2,5,5,2,5,2,3,4,5,7,6,4,7,7,7,6,3,2,4,4,7,3,6,5,2,7,7,2,2,4,7,6,1,,3,,2,1,,,,,,,,,,,,,,2,2,2,2,1,1,1,1,2,4,3,4,3,3,4,3,2,2,2,2,2,2,1,1,4,3,2,22,4,,40.41720581,-3.684005737,-1
R_cP8Wreqzfm46HC5,Default Response Set,Anonymous,,,84.124.251.111,0,5/4/2016 15:40,5/4/2016 15:53,1,600027,2,,1,,,,,,,,,,1,5,2,1,1,1,2,5,5,2,1,5,,7,7,5,5,7,2,3,5,6,5,1,5,4,4,5,4,7,4,4,6,7,7,5,4,1,6,4,3,6,5,6,2,7,7,3,2,4,5,6,1,,1,,,,,,6,1,,,,,,,,,,3,3,3,1,1,3,2,3,1,4,5,5,4,5,4,4,4,4,4,4,4,4,2,1,3,4,3,26,2,,38.99420166,-1.856399536,-1
R_b7WgpsaL2U7t3Zr,Default Response Set,Anonymous,,,90.174.144.249,0,5/4/2016 15:42,5/4/2016 15:53,1,600031,2,,1,,,,,,,,,,1,3,1,1,1,2,3,5,5,5,3,5,,6,7,3,1,6,1,1,2,7,7,1,1,2,6,7,7,7,3,2,6,7,6,7,2,5,7,1,7,7,5,7,2,7,7,1,1,1,3,3,1,,1,,,,,,,,,,,,,,,7,1,2,3,2,1,1,1,2,1,1,5,,,,,,,3,2,4,2,3,2,2,2,2,2,1,9,2,,40.08590698,-3.87109375,-1
R_428wY5a0wJRLwjz,Default Response Set,Anonymous,,,62.99.118.10,0,5/4/2016 15:44,5/4/2016 15:55,1,600038,2,,1,,,,,,,,,,1,4,1,1,1,2,2,5,5,5,3,5,,5,6,2,3,7,2,1,2,5,6,2,4,2,7,7,7,6,5,3,7,6,7,5,3,2,7,2,5,7,6,6,2,1,7,2,2,1,6,5,1,,1,,,,3,1,,,,,,,,,,,,2,1,2,2,1,1,2,1,1,4,3,3,3,2,3,4,2,2,2,2,2,3,1,1,4,3,2,20,4,,43.26269531,-2.925292969,-1
R_50f2pLXoMAydxUF,Default Response Set,Anonymous,,,85.52.149.203,0,5/4/2016 15:43,5/4/2016 15:55,1,600033,2,,1,,,,,,,,,,1,4,2,1,1,1,3,5,5,5,3,5,,6,7,3,1,7,1,2,1,3,7,1,2,3,7,7,6,7,5,4,7,5,5,6,2,4,7,3,3,7,7,7,2,6,7,3,5,4,5,5,1,,1,,,,,,,,,,,,,,,5,1,2,2,2,1,1,2,2,2,1,4,5,4,7,4,6,7,2,2,2,2,2,2,2,1,3,4,3,18,4,,37.1882019,-3.606704712,-1
R_6kUXTrD3tG3IvzL,Default Response Set,Anonymous,,,37.222.220.5,0,5/4/2016 15:51,5/4/2016 15:57,1,600040,2,,1,,,,,,,,,,1,4,2,1,1,1,3,5,5,2,3,5,,5,7,4,1,6,1,1,1,6,7,1,5,1,7,6,7,7,6,1,6,7,6,7,1,3,7,4,6,7,5,5,2,2,5,3,3,5,6,4,1,,1,,,,,,,,1,3,3,2,3,3,1,,,2,2,2,1,1,2,2,1,1,5,,,,,,,2,2,2,2,2,2,2,1,2,1,,17,5,,38.99420166,-1.856399536,-1
R_4ZKz9aEjwdaVp1r,Default Response Set,Anonymous,,,84.120.85.212,0,5/4/2016 15:43,5/4/2016 15:58,1,600036,2,,1,,,,,,,,,,1,5,1,1,1,1,3,5,5,5,1,5,,3,6,2,2,6,2,2,2,6,3,2,2,2,6,3,6,7,7,2,6,2,5,6,2,1,3,2,6,6,6,4,2,6,6,2,5,2,7,3,1,,3,,,,,,,,2,1,2,1,2,1,1,,,2,2,2,2,2,2,1,1,1,5,,,,,,,1,1,1,1,1,1,2,2,3,3,2,21,5,,38.39639282,-0.525497437,-1
