V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,gid,Q1_1,Q1_2,Q2_1,Q2_2_1,Q2_2_2,Q2_2_3,Q2_2_4,Q2_2_5,Q2_2_6,Q2_2_7,Q2_2_8,Q2_2_9,Q2_2_10,Q2_3,Q2_4_orange,Q2_4_banana,Q2_4_strawberry,Q2_4_apple,Q2_4_5,Q2_4_loquat,Q2_4_rambutan,Q2_4_mangosteen,Q2_4_peach,Q2_5,Q2_5_TEXT,NES_11,NES_5,NES_14,CD_4R,CON_3,NES_10,CD_7R,CD_12R,NES_1,CD_5,NES_8,CON_2,CD_1R,CD_11,CD_9,CD_3,NES_7,TECH_2,CD_13R,CON_5,NES_13,NES_3,CON_1,CD_2R,TECH_5_N_,CD_8,NES_12,NES_6,CD_6,CON_4,CD_10,Q3_5_Validation,NES_15,NES_9,NES_2,TECH_3_N_,NES_4,TECH_1,TECH_4,Q3_7,Q3_7_TEXT,Q4_1,Q4_2,Q5_1,Q5_2,Q6_1,Q6_2,Q7_1_1,Q7_1_2,Q7_1_3,Q7_1_4,Q7_1_5,Q7_2,Q7_3,Q8_1,Q8_2,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_6,Q9_7,Q9_8,Q9_9,Q10_1,Q10_2_1,Q10_2_2,Q10_2_3,Q10_2_4,Q10_2_5,Q10_2_6,Q10_3_1,Q10_3_2,Q10_3_3,Q10_3_4,Q10_3_5,Q10_3_6,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_7,LocationLatitude,LocationLongitude,LocationAccuracy,CD_4,CD_7,CD_12,CD_1,CD_13,CD_2,total_CD,TECH_3,TECH_5,total_tech,total_NES,total_con,Monsanto,Family,Public,Seeds,WTP_Mon,WTP_Fam,WTP_Pub,WTP_Seed,Mon_T,Emo_T,Sim_T,Ben_T,Conrol
R_6lN9TPFZw08yGod,Default Response Set,Anonymous,,,80.108.48.139,0,03MAY16:03:00:00,03MAY16:03:10:00,1,800036,2,0,1,,0,0,0,0,,,0,0,1,8,3,1,1,2,4,5,5,5,3,2,,7,7,7,2,6,3,1,2,6,7,7,5,3,7,7,7,7,5,2,5,7,7,6,1,3,7,7,3,7,6,7,2,7,7,5,1,2,6,6,1,,,,0,0,7,1,0,0,0,0,0,0,0,0,0,3,3,3,1,1,3,2,3,1,5,0,0,0,0,0,0,3,3,4,3,3,4,2,2,4,2,1,52,3,48.16400146,16.44630432,-1,6,7,6,5,6,7,86,7,5,29,89,28,-5.4518,-3.52198,-4.07444,0.0622703,-1.909863201,-1.233812685,-1.42734932,0.021814402,0,0,1,0,0
R_3gSqY8385w2hpOt,Default Response Set,Anonymous,,,83.164.31.44,0,03MAY16:03:20:00,03MAY16:03:40:00,1,800037,2,0,1,,0,0,0,0,,,0,0,1,8,2,3,4,1,3,5,5,5,3,2,,5,6,4,2,7,5,3,3,5,5,4,5,3,6,6,6,6,4,5,2,6,5,7,3,4,6,4,4,7,1,6,2,4,6,4,3,4,5,6,1,,,,0,0,4,1,0,0,0,0,0,0,0,0,0,3,3,3,3,1,3,3,3,1,2,6,7,7,7,7,7,4,4,3,3,4,4,1,5,2,1,0,61,2,48.21180725,14.50289917,-1,6,5,5,5,3,5,71,5,4,24,72,22,-5.99811,-3.76688,-4.11783,-0.697638,-2.10124538,-1.319605542,-1.442549614,-0.244395089,0,0,1,0,0
R_8jrU1S2P0duWrNX,Default Response Set,Anonymous,,,194.138.12.17,0,03MAY16:04:37:00,03MAY16:04:42:00,1,800041,2,0,1,,0,0,0,0,,,0,0,1,6,2,2,1,1,3,5,5,5,1,2,,5,5,4,3,4,4,2,3,4,5,4,5,3,5,5,6,6,4,2,6,6,5,4,1,3,5,4,5,5,6,6,2,5,4,2,3,4,5,5,1,,,,0,0,3,1,0,0,0,0,0,0,0,0,0,1,2,2,1,2,1,2,2,1,2,7,6,6,6,5,5,2,3,3,4,4,4,1,1,5,2,1,40,2,48.14329529,16.293396,-1,5,6,5,5,6,7,71,5,5,24,67,25,-2.50777,-0.480663,-1.20371,0.781351,-0.878516754,-0.168384859,-0.421681176,0.273721252,0,0,1,0,0
R_bxOZES5pQWQAxaB,Default Response Set,Anonymous,,,80.110.110.60,0,03MAY16:04:38:00,03MAY16:04:48:00,1,800042,2,0,1,,1,0,0,0,,,0,0,0,4,3,1,1,1,4,5,5,5,4,2,,6,6,4,4,6,5,2,3,6,5,6,6,3,5,6,5,7,4,2,6,6,6,6,6,4,6,6,2,6,2,6,2,6,6,5,5,5,5,5,1,,,,0,0,5,1,0,0,0,0,0,0,0,0,0,2,2,2,2,2,1,2,1,2,3,7,7,7,7,7,7,3,3,3,3,3,3,2,2,1,3,1,17,2,48.19810486,16.39480591,-1,4,6,5,5,6,2,67,3,4,21,82,26,-6.46572,4.76036,0.0666417,0.86239,-2.26505754,1.667639383,0.023345781,0.302110665,0,0,1,0,0
R_5AUDUejcEDevPUh,Default Response Set,Anonymous,,,86.56.128.172,0,03MAY16:05:45:00,03MAY16:05:59:00,1,800044,2,0,1,,0,0,0,0,,,0,0,1,4,3,2,3,2,3,5,5,5,3,2,,6,6,6,2,5,5,2,2,4,5,6,6,3,6,6,6,6,5,2,6,5,5,4,2,4,6,4,3,6,5,6,2,5,5,5,4,4,5,5,1,,,,0,0,7,1,0,0,0,0,0,0,0,0,0,3,3,3,1,1,3,2,3,1,3,7,7,7,7,7,7,4,4,4,4,4,4,1,7,0,1,0,13,0,48.2019043,14.27940369,-1,6,6,6,5,6,6,76,4,4,23,75,26,-5.41132,-4.62983,-4.25987,0.0525663,-1.895682332,-1.621912385,-1.49230877,0.018414917,0,0,1,0,0
R_bjh8TgvJgCBpZWJ,Default Response Set,Anonymous,,,178.26.134.15,0,03MAY16:07:36:00,03MAY16:07:43:00,1,400077,2,0,1,,0,0,0,0,,,0,0,1,6,2,1,3,2,3,5,5,5,3,4,,5,4,3,2,5,3,1,1,7,6,5,4,5,5,5,5,6,5,1,5,4,4,6,4,3,6,4,6,6,1,6,2,4,5,4,3,4,5,5,1,,,,0,0,4,1,0,0,0,0,0,0,0,0,0,2,3,2,1,1,3,2,1,2,3,7,7,7,7,7,7,4,3,4,3,4,3,1,1,3,2,1,31,3,49.97509766,9.131393433,-1,6,7,7,3,7,4,73,5,5,25,68,21,-5.97189,-0.0912426,-3.69974,0.719784,-2.092060044,-0.031963917,-1.296085197,0.252153229,0,0,1,0,0
R_6YI0LoN3WgWU7uR,Default Response Set,Anonymous,,,77.179.23.160,0,03MAY16:07:36:00,03MAY16:07:45:00,1,400079,2,0,1,,0,0,0,0,,,0,0,1,5,3,1,2,1,2,5,5,5,3,4,,2,7,4,3,7,6,2,2,4,4,5,6,6,5,7,5,7,4,3,6,5,6,6,5,4,5,2,2,6,4,5,2,5,5,3,4,3,4,4,1,,,,0,0,6,1,0,0,0,0,0,0,0,0,0,2,1,2,1,2,1,1,1,2,5,0,0,0,0,0,0,2,2,1,2,4,2,2,7,3,4,2,22,2,52.51669312,13.3999939,-1,5,6,6,2,5,3,64,4,4,20,66,29,-2.61793,3.86448,-2.68829,1.49264,-0.917107775,1.35379657,-0.941756144,0.52289853,0,0,1,0,0
R_3waJR8gD3ku5peR,Default Response Set,Anonymous,,,109.192.254.4,0,03MAY16:07:52:00,03MAY16:08:01:00,1,400083,2,0,1,,0,0,0,0,,,0,0,1,8,2,1,1,1,1,5,5,5,3,4,,6,5,3,4,4,4,2,4,5,6,4,5,4,6,6,6,6,6,4,4,6,5,6,4,4,6,4,4,6,4,6,2,5,4,4,2,3,6,6,1,,,,0,0,4,1,0,0,0,0,0,0,0,0,0,3,3,3,1,3,3,2,3,3,5,0,0,0,0,0,0,2,2,2,2,2,2,1,1,6,3,1,51,2,48.88510132,8.730697632,-1,4,6,4,4,4,4,68,6,4,28,68,23,-5.65534,-4.07924,-2.81115,-0.612156,-1.981166909,-1.429030845,-0.984796203,-0.214449213,0,0,1,0,0
R_09ruJpDiWInkPsh,Default Response Set,Anonymous,,,141.90.9.62,0,03MAY16:09:40:00,03MAY16:09:47:00,1,400091,2,0,1,,0,0,0,0,,,0,0,1,8,3,1,3,1,3,5,5,5,3,4,,6,6,4,3,6,5,2,4,5,6,5,4,4,5,6,6,6,5,4,5,6,4,6,4,4,7,6,6,6,4,6,2,5,5,5,3,3,6,6,1,,,,0,0,3,1,0,0,0,0,0,0,0,0,0,2,1,2,1,1,2,1,1,1,5,0,0,0,0,0,0,4,4,4,4,4,4,2,5,2,2,1,59,2,50.11669922,8.683303833,-1,5,6,4,4,4,4,69,5,4,26,77,25,-2.12704,-0.619947,-2.62024,1.67365,-0.745140215,-0.21717854,-0.91791701,0.586309576,0,0,1,0,0
R_1YBZ9zJDLvEVwbP,Default Response Set,Anonymous,,,217.225.62.75,0,03MAY16:10:39:00,03MAY16:10:46:00,1,400094,2,0,1,,0,0,0,0,,,0,0,1,8,1,1,4,2,3,5,5,5,4,4,,7,6,2,3,7,4,1,3,4,7,6,7,4,7,7,7,7,4,7,7,7,7,7,2,4,6,2,1,4,0,5,2,7,7,3,4,2,5,5,1,,,,0,0,2,1,0,0,0,0,0,0,0,0,0,2,1,2,1,1,2,2,1,2,5,0,0,0,0,0,0,4,3,4,4,4,3,2,5,3,2,1,51,4,52.47129822,10.15809631,-1,5,7,5,4,1,6,71,4,4,22,72,28,-4.9941,-0.0461965,-3.05458,2.01637,-1.749522692,-0.016183461,-1.070074092,0.706370531,0,0,1,0,0
R_6ul58XCqEzX3w33,Default Response Set,Anonymous,,,93.210.26.126,0,03MAY16:10:47:00,03MAY16:10:53:00,1,400129,2,0,1,,0,0,0,0,,,0,0,1,4,2,1,1,1,1,5,5,5,1,4,,4,5,5,2,6,4,2,2,6,6,6,6,5,5,5,5,4,4,4,6,6,6,6,2,4,3,2,7,6,6,3,2,5,5,3,2,6,5,5,6,,,,0,0,4,1,0,0,0,0,0,0,0,0,0,2,3,2,1,2,1,2,1,2,5,0,0,0,0,0,0,3,3,3,3,3,3,1,2,5,4,2,12,4,48.56930542,13.41220093,-1,6,6,6,3,4,6,64,6,4,24,74,30,-6.25881,4.18336,-4.36802,1.23066,-2.19257326,1.465505947,-1.530195653,0.431122243,0,0,1,0,0
R_cITPV33RFX9gA1T,Default Response Set,Anonymous,,,212.95.7.199,0,03MAY16:10:48:00,03MAY16:10:55:00,1,800054,1,1,1,,0,0,0,0,,,0,0,1,6,3,3,3,2,3,5,5,5,4,2,,6,7,7,4,6,6,2,3,5,6,7,4,4,5,6,7,7,4,2,5,6,7,6,6,5,6,7,2,6,5,7,2,7,7,7,5,5,3,4,1,,,,0,0,3,1,0,0,0,0,0,0,0,0,0,2,2,2,1,1,1,2,1,1,5,0,0,0,0,0,0,2,4,4,3,2,4,1,1,2,1,0,35,2,48.19999695,16.36669922,-1,4,6,5,4,6,2,70,3,3,17,93,26,-6.47835,0.000237569,-2.89974,1.3222,-2.269482055,8.32E-05,-1.015830867,0.463190345,0,0,1,0,0
R_8HN9AvM4wbf8zDD,Default Response Set,Anonymous,,,77.4.120.28,0,03MAY16:10:45:00,03MAY16:10:56:00,1,400105,2,0,1,1,0,0,0,0,,,0,0,0,6,2,1,2,1,3,5,5,5,3,4,,5,6,4,3,6,4,2,1,4,7,6,4,4,6,6,6,7,4,1,6,6,5,6,1,4,5,6,4,6,5,5,2,6,4,7,4,3,4,5,1,,,,0,0,4,1,0,0,0,0,0,0,0,0,0,3,3,2,3,1,1,2,3,1,5,0,0,0,0,0,0,3,3,3,3,4,2,2,2,3,4,2,39,4,48.19760132,11.51809692,-1,5,6,7,4,7,7,77,4,4,21,77,27,-4.91511,-1.77429,-3.68114,0.133508,-1.72185108,-0.621565571,-1.289569284,0.046770244,0,0,1,0,0
R_ekqWvhuaLoDW5kF,Default Response Set,Anonymous,,,91.3.127.182,0,03MAY16:10:49:00,03MAY16:10:57:00,1,400157,2,0,1,,0,0,0,0,,,0,0,1,7,1,1,3,1,3,5,5,5,3,4,,7,7,4,2,6,7,2,2,7,7,7,6,2,6,6,7,7,5,2,6,7,7,7,2,3,6,6,3,6,5,6,2,7,6,7,4,3,6,6,4,,,,0,0,4,1,0,0,0,0,0,0,0,0,0,3,3,2,1,1,3,2,1,1,2,5,7,7,7,7,7,4,4,4,5,4,5,1,5,5,2,1,46,2,48.16969299,8.642196655,-1,6,6,6,6,6,6,80,4,5,26,92,30,-6.58364,-1.77236,-4.75825,0.718067,-2.306367028,-0.620889457,-1.666900212,0.251551733,0,0,1,0,0
R_6FLm9QS5ZQg88Cx,Default Response Set,Anonymous,,,84.154.112.71,0,03MAY16:10:46:00,03MAY16:10:58:00,1,400125,2,0,1,,0,0,0,0,,,0,0,1,5,3,1,2,1,3,5,5,5,3,4,,5,6,2,4,7,5,4,4,6,5,4,5,5,4,4,5,7,5,4,6,6,5,7,3,3,5,5,2,5,5,5,2,5,6,5,2,4,6,5,1,,,,0,0,7,1,0,0,0,0,0,0,0,0,0,3,3,3,1,1,3,2,3,1,5,0,0,0,0,0,0,1,1,3,1,1,2,1,4,4,2,1,21,3,50.80000305,6.784698486,-1,4,4,4,3,4,5,57,6,5,27,73,30,-6.11919,-4.52428,-4.04583,0.0945475,-2.143661873,-1.58493633,-1.417326724,0.033121683,0,0,1,0,0
R_0dmVxIQmrYFxtpH,Default Response Set,Anonymous,,,79.195.240.16,0,03MAY16:10:47:00,03MAY16:10:59:00,1,400131,2,0,1,,0,0,0,0,,,0,0,1,8,3,1,3,1,3,5,5,5,3,4,,5,5,4,4,4,6,3,2,4,5,3,6,4,5,6,5,5,5,3,5,6,6,4,5,3,5,4,3,5,5,5,2,5,5,5,3,3,6,5,1,,,,0,0,4,1,0,0,0,0,0,0,0,0,0,2,1,2,1,2,2,1,3,1,5,0,0,0,0,0,0,3,2,3,2,4,2,1,5,2,2,1,51,2,52.14219666,8.548904419,-1,4,5,6,4,5,3,63,5,5,26,69,24,-2.11395,-0.740827,-2.5343,1.08198,-0.740554553,-0.259524969,-0.887810688,0.379036976,0,0,1,0,0
R_9Y84Job3aTyhmXr,Default Response Set,Anonymous,,,178.27.218.22,0,03MAY16:10:50:00,03MAY16:10:59:00,1,400174,2,0,1,,0,0,0,0,,,0,0,1,7,1,1,3,1,1,5,5,5,2,4,,7,7,3,1,7,4,1,4,7,7,6,7,1,7,7,7,7,5,1,7,7,6,7,6,7,7,4,1,7,2,7,2,6,2,7,2,4,5,7,1,,,,0,0,2,1,0,0,0,0,0,0,0,0,0,2,2,2,1,1,1,1,1,2,5,0,0,0,0,0,0,1,3,4,3,2,3,2,3,6,2,1,44,2,49.71290588,11.06660461,-1,7,7,4,7,7,2,83,6,1,24,78,30,-4.62511,1.33546,-2.02134,2.13267,-1.620258885,0.467835561,-0.708111611,0.747112505,0,0,1,0,0
R_cNGZuEu0oEoVXbD,Default Response Set,Anonymous,,,217.87.180.17,0,03MAY16:10:52:00,03MAY16:11:01:00,1,400191,2,0,1,,0,0,0,1,,,0,0,0,7,2,2,2,2,2,5,5,5,2,4,,5,6,5,3,6,5,3,2,2,6,6,5,2,6,6,6,6,6,5,6,6,6,6,5,5,6,3,4,5,5,5,2,4,3,4,4,5,3,6,1,,,,0,0,6,1,0,0,0,0,0,0,0,0,0,1,2,1,3,2,2,1,1,2,5,0,0,0,0,0,0,2,3,4,4,4,3,1,5,2,2,1,47,5,51.43330383,6.75,-1,5,5,6,6,3,3,68,4,3,22,70,28,1.96903,0.452049,0.608985,0.573033,0.689786481,0.158360862,0.213338355,0.200743725,0,0,1,0,0
R_5w0n3obPKsjVQnH,Default Response Set,Anonymous,,,95.90.251.201,0,03MAY16:10:49:00,03MAY16:11:02:00,1,400162,2,0,1,,0,0,0,0,,,0,0,1,8,1,1,1,1,5,5,5,5,2,4,,5,7,3,4,4,3,2,5,5,7,4,7,4,7,7,7,7,4,1,4,7,7,7,4,4,7,4,1,7,4,7,2,5,7,3,6,3,5,5,1,,,,0,0,4,1,0,0,0,0,0,0,0,0,0,2,2,2,2,1,3,2,1,1,5,0,0,0,0,0,0,3,3,3,3,3,2,1,5,4,3,1,52,2,53.55000305,10,-1,4,6,3,4,7,4,77,2,4,20,71,26,-5.86458,-0.373934,-0.953035,0.482978,-2.054467429,-0.130995779,-0.333865233,0.169195845,0,0,1,0,0
