V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,gid,Q1_1,Q1_2,Q2_1,Q2_2_1,Q2_2_2,Q2_2_3,Q2_2_4,Q2_2_5,Q2_2_6,Q2_2_7,Q2_2_8,Q2_2_9,Q2_2_10,Q2_3,Q2_4_orange,Q2_4_banana,Q2_4_strawberry,Q2_4_apple,Q2_4_5,Q2_4_loquat,Q2_4_rambutan,Q2_4_mangosteen,Q2_4_peach,Q2_5,Q2_5_TEXT,NES_11,NES_5,NES_14,CD_4R,CON_3,NES_10,CD_7R,CD_12R,NES_1,CD_5,NES_8,CON_2,CD_1R,CD_11,CD_9,CD_3,NES_7,TECH_2,CD_13R,CON_5,NES_13,NES_3,CON_1,CD_2R,TECH_5_N_,CD_8,NES_12,NES_6,CD_6,CON_4,CD_10,Q3_5_Validation,NES_15,NES_9,NES_2,TECH_3_N_,NES_4,TECH_1,TECH_4,Q3_7,Q3_7_TEXT,Q4_1,Q4_2,Q5_1,Q5_2,Q6_1,Q6_2,Q7_1_1,Q7_1_2,Q7_1_3,Q7_1_4,Q7_1_5,Q7_2,Q7_3,Q8_1,Q8_2,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_6,Q9_7,Q9_8,Q9_9,Q10_1,Q10_2_1,Q10_2_2,Q10_2_3,Q10_2_4,Q10_2_5,Q10_2_6,Q10_3_1,Q10_3_2,Q10_3_3,Q10_3_4,Q10_3_5,Q10_3_6,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_7,LocationLatitude,LocationLongitude,LocationAccuracy,CD_4,CD_7,CD_12,CD_1,CD_13,CD_2,total_CD,TECH_3,TECH_5,total_tech,total_NES,total_con,Monsanto,Family,Public,Seeds,WTP_Mon,WTP_Fam,WTP_pub,WTP_seed,Mon_T,Emo_T,Sim_T,Ben_T,Control
R_6teQI3eaWoSofxr,Default Response Set,Anonymous,,,194.118.183.3,0,03MAY16:06:38:00,03MAY16:06:48:00,1,800045,2,0,1,,0,0,0,0,,,0,0,1,6,3,1,1,2,1,5,5,5,3,2,,5,5,3,3,4,3,3,3,5,5,2,4,5,5,6,5,5,6,5,5,3,3,4,4,3,6,2,2,6,3,6,2,3,4,3,5,2,6,6,1,,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,1,1,3,2,1,1,4,6,6,6,6,6,6,4,3,4,4,4,3,1,3,3,3,2,39,2,48.30310059,15.7223053,-1,5,5,5,3,3,4,64,3,5,26,50,20,-6.93728,-1.94454,-3.74208,0.457282,-2.427880476,-0.680542043,-1.309637635,0.160037657,1,0,0,0,0
R_74GXlqUgMEToFBH,Default Response Set,Anonymous,,,89.107.167.66,0,03MAY16:07:36:00,03MAY16:07:43:00,1,400078,2,0,1,,0,0,0,0,,,0,0,1,5,2,1,2,1,2,5,5,5,3,4,,6,6,5,4,6,6,1,2,4,6,6,5,3,6,7,7,7,4,2,6,5,4,4,4,4,7,7,3,7,5,7,2,6,6,6,5,5,4,2,1,,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,1,3,2,3,1,3,7,7,7,7,7,7,4,4,4,4,4,4,2,7,1,3,1,21,5,51.84410095,12.24749756,-1,4,7,6,5,6,4,79,3,4,17,82,26,-6.54748,-1.8427,-2.80112,0.596489,-2.291459889,-0.644900502,-0.980324358,0.208756746,1,0,0,0,0
R_2gf1xPKlNq6dx65,Default Response Set,Anonymous,,,141.70.104.35,0,03MAY16:08:37:00,03MAY16:08:44:00,1,400087,2,0,1,,0,0,0,0,,,0,0,1,4,2,1,1,2,1,5,5,4,3,4,,4,5,2,5,7,5,6,3,6,7,2,5,7,6,7,7,6,6,4,4,6,5,4,4,3,0,3,3,4,4,3,2,5,7,2,6,1,6,5,1,,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,1,1,2,3,3,5,3,4,2,3,4,2,2,4,4,2,1,1,4,3,2,16,4,47.66130066,9.175201416,-1,3,2,5,1,4,4,53,2,5,24,62,24,-1.66898,1.87106,1.10295,0.466198,-0.584102697,0.654825817,0.386005866,0.163158042,1,0,0,0,0
R_eS8iz9wG524Skvj,Default Response Set,Anonymous,,,31.187.127.14,0,03MAY16:09:41:00,03MAY16:09:55:00,1,400092,2,0,1,,0,0,0,0,,,0,0,1,8,1,1,1,0,1,5,5,5,3,4,,6,5,3,5,2,4,5,5,5,4,3,4,4,4,7,5,7,4,4,4,5,4,5,4,4,6,6,3,4,2,4,2,5,4,8,3,3,4,5,1,,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,2,2,3,1,1,5,0,0,0,0,0,0,1,1,1,1,1,1,1,5,3,2,1,61,2,52.13879395,8.780593872,-1,3,3,3,4,4,4,55,5,4,22,71,17,-5.73237,0.241131,-1.49946,0.68641,-2.006191073,0.084390027,-0.524774791,0.240226924,1,0,0,0,0
R_3pHNNi57WyQoyUt,Default Response Set,Anonymous,,,153.94.15.2,0,03MAY16:10:46:00,03MAY16:10:49:00,1,400120,2,0,1,,0,0,0,0,,,0,0,1,6,2,2,2,1,4,5,5,5,2,4,,4,7,5,4,4,3,4,3,3,4,4,6,4,5,4,7,6,5,4,3,3,4,6,4,5,7,3,4,5,4,7,2,4,5,4,5,3,5,6,1,,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,3,2,1,3,1,3,5,0,0,0,0,0,0,1,3,3,3,4,3,1,1,4,1,0,35,2,48.53689575,9.053604126,-1,4,4,5,4,4,4,64,3,3,22,62,23,-4.46359,1.56423,-4.1426,-0.757054,-1.562148712,0.547442726,-1.449809963,-0.264950618,1,0,0,0,0
R_b17fPfMxMl9A1Sd,Default Response Set,Anonymous,,,92.217.140.48,0,03MAY16:10:44:00,03MAY16:10:52:00,1,400097,2,0,1,,0,0,0,0,,,0,0,1,6,3,1,3,1,3,5,3,5,2,4,,4,5,4,4,6,5,4,4,4,5,3,5,3,6,7,6,5,6,3,7,4,4,3,3,5,7,5,4,7,5,6,2,2,0,3,4,2,5,6,1,,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,2,1,2,1,2,2,7,7,7,7,7,7,4,4,4,4,4,4,1,5,5,1,0,37,5,50.145401,8.676101685,-1,4,4,4,5,5,5,71,4,3,24,54,26,-6.09886,2.36188,-2.43553,1.02282,-2.134453723,0.826600965,-0.852376686,0.357962301,1,0,0,0,0
R_1LVFS2UVwXbVFjL,Default Response Set,Anonymous,,,77.64.220.121,0,03MAY16:10:44:00,03MAY16:10:55:00,1,400099,2,0,1,,0,0,0,0,,,0,0,1,7,1,1,3,1,3,5,5,5,3,4,,7,7,6,5,6,7,2,5,6,5,7,5,5,6,6,6,7,6,4,6,7,7,7,5,2,5,7,2,4,4,6,2,5,7,7,3,5,6,6,1,,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,1,1,1,2,3,1,1,7,7,7,7,7,7,2,2,2,2,2,2,2,6,1,2,1,41,2,52.83329773,13.83329773,-1,3,6,3,3,4,3,60,5,6,29,94,28,-6.65326,-2.18612,-4.95867,0.458491,-2.328480335,-0.765089209,-1.735414756,0.160460778,1,0,0,0,0
R_7aJW0eR8YTBcvEV,Default Response Set,Anonymous,,,93.201.60.237,0,03MAY16:10:44:00,03MAY16:10:55:00,1,400098,2,0,0,,0,0,0,0,,,0,0,1,6,3,1,3,1,4,5,5,5,3,4,,5,6,5,3,6,5,1,3,5,7,5,5,1,7,7,7,7,6,2,7,6,5,4,2,3,7,3,2,6,4,6,2,5,5,6,3,4,5,5,1,,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,2,1,2,1,2,5,0,0,0,0,0,0,3,3,3,3,3,3,2,2,4,6,1,31,2,49.59570313,10.62680054,-1,5,7,5,7,6,6,83,5,5,26,74,26,-6.51281,3.02767,-2.77331,1.17023,-2.279326226,1.059611387,-0.970591529,0.409552241,1,0,0,0,0
R_dm4q5NKz9jIWvvD,Default Response Set,Anonymous,,,93.159.118.11,0,03MAY16:10:47:00,03MAY16:10:56:00,1,400141,0,0,1,,0,0,0,0,,,0,0,1,6,2,1,1,1,3,5,5,5,3,4,,5,6,7,1,7,7,4,7,4,7,6,6,4,7,7,7,7,5,7,6,5,4,7,6,4,6,7,1,7,6,7,2,4,7,4,5,4,5,5,1,,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,5,0,0,0,0,0,0,1,5,4,5,5,4,2,7,1,5,2,39,4,50.90829468,12.99169922,-1,7,4,1,4,1,2,67,3,4,22,78,32,-6.03426,-3.47449,-5.20552,-1.61516,-2.111845283,-1.215987597,-1.821806295,-0.565266997,1,0,0,0,0
R_cFPE2o2dHXLPiZL,Default Response Set,Anonymous,,,84.155.147.11,0,03MAY16:10:47:00,03MAY16:10:56:00,1,400128,1,1,1,,0,0,0,0,,,0,0,1,8,1,1,1,1,3,5,5,5,3,4,,7,7,4,1,7,7,1,1,7,7,7,5,1,7,7,7,7,5,1,7,7,7,7,1,4,7,7,4,7,7,7,2,7,7,7,1,7,5,7,1,,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,2,1,2,1,2,2,7,7,7,7,7,7,2,4,2,4,4,4,1,5,6,2,1,54,5,48.56689453,11.25830078,-1,7,7,7,7,7,7,91,7,4,28,99,33,-6.0065,2.46855,-1.9157,0.979036,-2.102129953,0.863932889,-0.670448739,0.342638958,1,0,0,0,0
R_a3kWW7PeHgKXsSF,Default Response Set,Anonymous,,,93.227.247.8,0,03MAY16:10:49:00,03MAY16:10:58:00,1,400160,2,0,1,,1,0,0,0,,,0,0,0,4,2,1,1,1,1,5,5,5,2,4,,7,7,1,3,7,1,2,3,6,5,6,7,2,6,6,2,7,5,6,7,7,7,7,7,4,7,7,6,6,4,6,2,7,6,7,3,4,5,4,1,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,1,3,1,2,4,2,3,3,3,3,4,3,4,4,4,4,4,2,1,4,1,0,12,4,52.45530701,10.00740051,-1,5,6,5,6,2,1,63,5,4,23,86,32,-5.38387,2.8463,-1.27916,0.287646,-1.884224489,0.996136267,-0.44767511,0.100669154,1,0,0,0,0
R_0OihTSfZqxLTvg1,Default Response Set,Anonymous,,,88.71.15.230,0,03MAY16:10:50:00,03MAY16:10:58:00,1,400170,2,0,1,,0,0,0,0,,,0,0,1,3,1,1,1,1,2,5,5,5,3,4,,4,3,2,5,7,6,4,5,5,6,5,7,4,5,5,7,5,5,4,3,5,3,4,5,4,7,2,1,6,7,5,2,5,5,4,4,3,4,5,1,,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,1,2,2,1,2,3,4,7,0,0,0,0,0,7,5,5,3,2,2,2,1,3,2,2,7,5,54.33340454,10.11759949,-1,3,4,3,4,4,3,62,4,4,22,58,28,-2.58345,-1.09085,-1.66862,0.896425,-0.904145114,-0.381771158,-0.583976706,0.313727103,1,0,0,0,0
R_81BFn4SDED6NGGF,Default Response Set,Anonymous,,,217.87.183.27,0,03MAY16:10:47:00,03MAY16:10:59:00,1,400132,2,0,1,,0,0,1,0,,,0,0,1,5,2,1,1,1,3,5,5,5,3,4,,4,5,1,3,6,5,3,5,4,5,5,7,4,5,6,7,7,4,1,5,7,7,6,4,4,5,4,4,7,4,7,2,7,4,1,7,1,4,1,1,,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,1,1,2,1,2,5,0,0,0,0,0,0,1,1,1,1,4,1,2,2,4,5,4,26,2,51.43330383,6.75,-1,5,5,3,4,7,4,70,1,4,14,66,28,-6.75735,1.69848,-2.28692,1.73611,-2.364909321,0.594426985,-0.800366775,0.607596576,1,0,0,0,0
R_1XfUnzQsg3GUZFj,Default Response Set,Anonymous,,,87.193.253.68,0,03MAY16:10:55:00,03MAY16:11:00:00,1,400221,2,0,1,,0,0,0,0,,,0,0,1,4,2,2,3,2,4,5,5,5,3,4,,6,6,3,4,7,5,4,4,5,5,5,5,4,5,5,6,7,5,4,6,5,5,5,4,4,6,6,5,5,1,3,2,6,5,5,4,5,4,4,1,,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,1,1,1,1,1,1,5,0,0,0,0,0,0,4,4,4,4,4,4,2,1,3,1,0,15,2,51,9,-1,4,4,4,4,4,4,59,4,4,21,79,24,-2.26868,-1.49125,-5.42922,1.24135,-0.793983215,-0.521901489,-1.900095893,0.434442523,1,0,0,0,0
R_cu2ecAPscOfII1T,Default Response Set,Anonymous,,,2.244.147.127,0,03MAY16:10:52:00,03MAY16:11:00:00,1,400188,2,0,1,,0,0,0,0,,,0,0,1,7,1,1,2,1,2,5,5,5,1,4,,6,6,2,5,4,4,2,4,6,5,5,6,4,6,6,6,7,5,4,5,6,6,6,4,4,5,6,2,6,6,6,2,6,6,4,4,4,6,5,1,,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,2,1,2,1,1,1,4,4,3,4,4,4,3,3,3,3,4,3,3,1,1,5,2,1,40,5,51.48469543,7.499603271,-1,3,6,4,4,4,4,65,4,4,24,76,27,-1.22623,-0.133577,0.117202,1.40624,-0.429150889,-0.046748724,0.04101787,0.492150042,1,0,0,0,0
