V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,gid,Q1_1,Q1_2,Q2_1,Q2_2_1,Q2_2_2,Q2_2_3,Q2_2_4,Q2_2_5,Q2_2_6,Q2_2_7,Q2_2_8,Q2_2_9,Q2_2_10,Q2_3,Q2_4_orange,Q2_4_banana,Q2_4_strawberry,Q2_4_apple,Q2_4_5,Q2_4_loquat,Q2_4_rambutan,Q2_4_mangosteen,Q2_4_peach,Q2_5,Q2_5_TEXT,NES_11,NES_5,NES_14,CD_4R,CON_3,NES_10,CD_7R,CD_12R,NES_1,CD_5,NES_8,CON_2,CD_1R,CD_11,CD_9,CD_3,NES_7,TECH_2,CD_13R,CON_5,NES_13,NES_3,CON_1,CD_2R,TECH_5_N_,CD_8,NES_12,NES_6,CD_6,CON_4,CD_10,Q3_5_Validation,NES_15,NES_9,NES_2,TECH_3_N_,NES_4,TECH_1,TECH_4,Q3_7,Q3_7_TEXT,Q4_1,Q4_2,Q5_1,Q5_2,Q6_1,Q6_2,Q7_1_1,Q7_1_2,Q7_1_3,Q7_1_4,Q7_1_5,Q7_2,Q7_3,Q8_1,Q8_2,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_6,Q9_7,Q9_8,Q9_9,Q10_1,Q10_2_1,Q10_2_2,Q10_2_3,Q10_2_4,Q10_2_5,Q10_2_6,Q10_3_1,Q10_3_2,Q10_3_3,Q10_3_4,Q10_3_5,Q10_3_6,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_7,LocationLatitude,LocationLongitude,LocationAccuracy,CD_4,CD_7,CD_12,CD_1,CD_13,CD_2,total_CD,TECH_3,TECH_5,total_tech,total_NES,total_con,Monsanto,Family,Public,Seed,WTP_Mon,WTP_Fam,WTP_Pub,WTP_Seed,Mon_T,Emo_T,Sim_T,Ben_T,Control
R_5vCW9Be3hiK6poh,Default Response Set,Anonymous,,,79.223.225.19,0,02MAY16:23:46:00,02MAY16:23:57:00,1,400039,2,0,1,,0,0,0,0,,,0,0,1,5,2,3,2,1,1,5,5,5,3,4,,6,7,2,4,5,7,2,3,6,6,7,7,5,4,5,2,7,5,4,5,5,3,4,7,2,6,7,3,6,1,5,2,6,7,7,3,7,5,4,1,,,,6,1,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,1,1,2,1,1,3,4,4,4,4,4,4,4,4,4,4,4,4,2,1,1,3,2,21,2,49.22900391,7.012405396,-1,4,6,5,3,4,1,57,5,6,25,87,22,-4.64753,-0.621482,-4.96693,1.34997,-1.496683005,-0.200141053,-1.599542061,0.434742144,0,1,0,0,0
R_8jBXBw2zDv0ZeQJ,Default Response Set,Anonymous,,,84.114.11.39,0,03MAY16:01:53:00,03MAY16:02:06:00,1,800031,2,0,1,,0,1,0,0,,,0,0,0,7,1,1,1,1,3,5,5,5,3,2,,5,7,4,2,6,4,1,3,5,6,6,5,3,6,6,6,7,5,2,6,6,7,6,4,5,6,7,1,6,6,6,2,6,6,7,5,3,3,5,6,,,,3,1,0,0,0,0,0,0,0,0,0,0,0,2,1,2,2,1,2,1,1,1,5,0,0,0,0,0,0,4,3,3,3,3,2,2,2,4,2,1,41,2,48.21670532,16.30000305,-1,6,7,5,5,6,4,75,3,3,19,81,29,-1.86484,0.329891,-0.879123,1.76663,-0.600550042,0.106237561,-0.283111342,0.568922653,0,1,0,0,0
R_etjOq2kOtP71dwV,Default Response Set,Anonymous,,,80.147.152.17,0,03MAY16:01:39:00,03MAY16:02:20:00,1,400046,2,0,1,,1,0,0,0,,,1,0,0,4,1,1,1,1,1,5,5,5,2,4,,7,6,3,4,7,5,3,3,6,4,5,6,5,6,7,5,6,5,5,7,6,6,6,4,4,6,3,3,6,6,7,2,6,5,5,3,3,6,5,1,,,,3,1,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,1,2,2,2,1,5,0,0,0,0,0,0,2,2,2,3,3,2,1,1,4,2,1,19,5,51,9,-1,4,5,5,3,3,4,65,5,4,25,75,32,-6.9294,-1.23704,-0.631768,1.23988,-2.231532709,-0.39837435,-0.20345354,0.399288939,0,1,0,0,0
R_bx9qufJ7y5I4qW1,Default Response Set,Anonymous,,,93.211.4.135,0,03MAY16:02:33:00,03MAY16:02:41:00,1,400052,2,0,1,,0,0,0,0,,,0,0,1,8,3,2,2,3,3,5,5,5,3,4,,7,7,1,2,7,6,7,3,7,7,1,5,3,4,7,5,7,7,2,5,7,7,7,4,1,6,7,1,6,1,6,2,6,7,7,1,1,7,6,1,,,,3,1,0,0,0,0,0,0,0,0,0,0,0,3,1,3,2,1,3,1,1,1,5,0,0,0,0,0,0,1,1,1,1,2,2,1,5,4,2,1,55,6,49.36529541,8.583099365,-1,6,1,5,5,6,4,68,7,7,34,79,25,-1.67172,-2.0148,-3.06491,0.188658,-0.538357991,-0.648842916,-0.987018633,0.060755116,0,1,0,0,0
R_6DUcYgTEX04N4c5,Default Response Set,Anonymous,,,178.19.232.43,0,03MAY16:03:33:00,03MAY16:03:40:00,1,400055,2,0,1,,0,0,0,0,,,0,0,1,5,2,1,1,2,3,5,5,0,3,4,,4,6,3,4,5,4,1,2,5,7,6,5,4,5,6,7,7,6,2,6,5,6,6,4,1,6,5,4,6,2,4,2,5,5,5,1,4,6,6,1,,,,4,1,0,0,0,0,0,0,0,0,0,0,0,2,1,2,2,1,2,1,1,1,5,0,0,0,0,0,0,2,2,2,2,2,4,2,7,3,4,3,22,2,51.03329468,10.71670532,-1,4,7,6,4,6,4,72,7,7,32,74,24,-3.18469,-0.611666,-0.776537,1.2341,-1.02559239,-0.196979924,-0.250074713,0.397427557,0,1,0,0,0
R_erCJlAR84TcJeYZ,Default Response Set,Anonymous,,,217.13.183.25,0,03MAY16:03:35:00,03MAY16:04:01:00,1,800038,2,0,1,,0,0,0,0,,,0,0,1,5,3,2,2,1,1,5,5,5,3,2,,7,7,7,1,4,7,1,1,7,7,7,5,4,7,7,6,7,5,2,7,7,7,6,5,4,7,7,2,7,6,7,2,7,7,7,3,6,6,5,1,,,,7,1,0,0,0,0,0,0,0,0,0,0,0,3,3,3,1,1,3,2,3,1,3,7,7,7,7,7,7,3,2,2,3,2,2,1,1,4,1,0,29,5,48.21670532,16.3999939,-1,7,7,7,4,6,3,82,5,4,25,99,28,-7.04445,-6.10677,-5.49019,0.35144,-2.268583224,-1.966614282,-1.768051861,0.113177166,0,1,0,0,0
R_en7TCygUfz5wCln,Default Response Set,Anonymous,,,93.134.148.14,0,03MAY16:05:39:00,03MAY16:05:50:00,1,400066,2,0,1,,0,0,0,0,,,0,0,1,4,2,1,1,2,2,5,5,5,2,4,,6,7,3,5,7,7,4,6,6,7,7,4,1,6,7,6,7,3,6,6,7,7,7,6,6,6,4,2,6,4,5,2,7,5,4,5,3,4,3,1,,,,7,1,0,0,0,0,0,0,0,0,0,0,0,3,3,3,2,1,3,2,3,1,4,5,5,5,5,5,5,4,4,4,4,4,4,2,2,3,2,1,19,2,48.1499939,11.58329773,-1,3,4,2,7,2,2,63,3,2,15,82,28,-7.29043,-4.40197,-1.80877,-0.831601,-2.347798224,-1.417603262,-0.58249335,-0.267807434,0,1,0,0,0
R_doDVaY878yfHlOJ,Default Response Set,Anonymous,,,78.34.246.93,0,03MAY16:06:39:00,03MAY16:06:55:00,1,400072,2,0,1,,0,0,0,0,,,0,0,1,6,1,1,1,2,2,5,5,5,3,4,,6,6,4,5,5,6,2,2,6,6,6,3,3,6,5,6,7,3,3,4,6,6,5,3,4,6,5,1,5,4,5,2,6,6,5,4,3,5,4,1,,,,5,1,0,0,0,0,0,0,0,0,0,0,0,2,2,3,1,1,3,2,3,1,5,0,0,0,0,0,0,4,4,4,4,4,4,2,1,3,1,0,38,2,50.82069397,6.978607178,-1,3,6,6,5,5,5,69,4,4,20,79,21,-5.828,-2.74972,-3.25417,0.216776,-1.876839644,-0.885515358,-1.047967616,0.069810191,0,1,0,0,0
R_dmtqM0txfDAyhj7,Default Response Set,Anonymous,,,188.104.248.1,0,03MAY16:05:40:00,03MAY16:07:17:00,1,400070,2,0,1,,0,0,0,0,,,0,0,1,8,1,1,3,1,3,5,5,5,3,4,,6,6,8,4,2,6,2,3,6,6,6,6,4,6,6,6,6,6,6,2,6,6,2,6,2,6,6,2,6,2,6,2,6,6,6,2,2,6,6,1,,,,6,1,0,0,0,0,0,0,0,0,0,0,0,2,3,3,3,1,3,3,3,1,4,7,7,7,7,7,7,7,7,7,7,7,7,1,1,3,1,0,56,5,48.70750427,9.651397705,-1,4,6,5,4,2,2,65,6,6,30,84,14,-6.31456,-1.64844,-3.80194,-1.24397,-2.033530636,-0.530860937,-1.224370576,-0.400606076,0,1,0,0,0
R_3k3x714akIyC9wx,Default Response Set,Anonymous,,,88.117.73.194,0,03MAY16:07:37:00,03MAY16:07:51:00,1,800047,2,0,1,,0,0,0,0,,,0,0,1,6,3,2,3,2,4,5,5,5,3,2,,5,6,4,3,5,5,2,3,5,5,4,1,4,5,6,7,7,6,2,3,6,6,5,2,2,6,6,6,5,1,5,2,5,5,5,4,5,5,4,1,,,,4,1,0,0,0,0,0,0,0,0,0,0,0,3,3,3,1,1,3,2,3,1,5,0,0,0,0,0,0,4,4,4,4,4,4,1,7,2,4,1,39,2,48.20770264,16.37049866,-1,5,6,5,4,6,6,71,4,6,25,80,15,-6.77545,-4.45694,-4.69643,0.00389649,-2.181954902,-1.435305711,-1.512430681,0.001254819,0,1,0,0,0
R_ePWbMQyfItaJc8Z,Default Response Set,Anonymous,,,213.47.186.25,0,03MAY16:08:41:00,03MAY16:08:51:00,1,800049,2,0,1,,0,0,0,0,,,0,0,1,3,3,1,3,1,3,4,5,5,3,2,,3,6,4,4,5,6,4,4,5,4,5,1,5,4,4,4,6,5,4,5,5,5,6,5,2,6,5,5,6,2,5,2,5,4,5,2,6,5,6,1,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,2,2,1,2,1,1,1,4,3,4,4,3,5,4,4,3,3,2,2,2,2,4,1,2,1,7,3,47.26669312,11.3999939,-1,4,4,4,3,4,3,55,6,6,28,75,19,-2.0942,-1.23735,-1.85943,1.50578,-0.674412763,-0.398474182,-0.598807814,0.484918943,0,1,0,0,0
R_9QqlwTrkp5zOBeZ,Default Response Set,Anonymous,,,178.201.176.2,0,03MAY16:09:40:00,03MAY16:10:01:00,1,400090,2,0,1,,0,0,0,0,,,0,0,1,8,3,2,3,2,5,5,5,5,3,4,,4,5,3,5,5,5,4,4,4,5,3,6,4,4,4,5,6,6,4,5,5,5,5,5,2,5,2,2,5,4,5,2,4,5,3,2,1,6,5,1,,,,2,1,0,0,0,0,0,0,0,0,0,0,0,2,1,2,2,1,2,1,1,1,5,0,0,0,0,0,0,2,2,2,2,4,2,1,5,2,2,1,52,2,51,9,-1,3,4,4,4,4,3,55,6,6,29,57,25,-1.30323,-0.773905,-1.44412,1.25401,-0.41969007,-0.249227108,-0.465062057,0.403839341,0,1,0,0,0
R_9mXZzPe0MRp3Xjn,Default Response Set,Anonymous,,,91.50.7.235,0,03MAY16:10:44:00,03MAY16:10:52:00,1,400101,2,0,1,,0,0,0,0,,,0,0,1,4,3,1,1,3,3,5,5,5,3,4,,5,7,5,4,6,6,4,3,6,7,6,5,5,6,7,7,5,2,4,6,5,5,6,1,2,3,6,2,5,1,6,2,5,6,3,1,1,6,2,1,,,,2,1,0,0,0,0,0,0,0,0,0,0,0,2,3,2,1,1,1,2,1,2,5,0,0,0,0,0,0,2,2,1,2,4,3,1,1,5,3,2,19,4,49.28329468,7.116699219,-1,4,4,5,3,4,7,68,7,6,23,73,24,-7.25295,1.23762,-3.90625,1.16865,-2.335728225,0.398561133,-1.257962399,0.376350146,0,1,0,0,0
R_8uYlHnNx4Ed92Xr,Default Response Set,Anonymous,,,84.150.129.11,0,03MAY16:10:44:00,03MAY16:10:54:00,1,400102,2,0,1,,0,0,0,0,,,0,0,1,6,3,2,1,1,5,5,5,5,3,4,,7,7,2,2,7,7,1,2,7,4,7,5,2,6,6,6,7,2,1,7,7,7,7,7,4,6,7,6,6,4,7,2,7,7,6,2,6,5,4,1,,,,2,1,0,0,0,0,0,0,0,0,0,0,0,3,3,3,1,1,3,2,3,1,5,0,0,0,0,0,0,4,4,5,5,6,6,2,5,4,4,1,32,5,48.17210388,11.32119751,-1,6,7,6,6,7,1,74,6,4,21,97,30,-4.94524,-4.77289,-4.15602,-0.00321481,-1.592557049,-1.537053735,-1.338397923,-0.001035292,0,1,0,0,0
R_3L8p2lYStxtwNMx,Default Response Set,Anonymous,,,146.60.46.92,0,03MAY16:10:51:00,03MAY16:10:56:00,1,400183,2,0,1,,0,0,0,0,,,0,0,1,5,1,1,1,1,5,5,5,5,2,4,,5,5,3,5,5,3,5,6,5,5,2,5,5,5,0,5,6,6,6,5,6,5,5,5,5,5,3,4,5,5,4,2,5,5,3,6,3,5,6,1,,,,4,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,2,1,1,1,5,0,0,0,0,0,0,4,4,3,3,4,4,1,1,4,3,2,25,2,51.18249512,7.045394897,-1,3,3,2,3,2,3,45,2,3,22,63,25,-1.05044,-1.8156,-1.52342,1.17708,-0.33828199,-0.584692872,-0.4905997,0.379064929,0,1,0,0,0
R_e5n9bZaY9OFip4p,Default Response Set,Anonymous,,,87.181.152.18,0,03MAY16:10:48:00,03MAY16:10:56:00,1,400147,2,0,1,,0,0,0,0,,,0,0,1,4,1,1,3,1,3,5,5,5,3,4,,7,7,7,2,6,7,2,2,7,6,7,3,3,6,5,7,7,2,3,7,7,6,5,2,4,5,7,3,5,5,5,2,7,7,7,4,5,6,5,1,,,,7,1,0,0,0,0,0,0,0,0,0,0,0,3,3,3,1,1,3,2,3,1,2,7,7,7,7,7,7,2,2,2,3,3,2,2,2,4,5,4,18,3,52.08079529,8.75050354,-1,6,6,6,5,5,6,73,4,4,21,98,26,-6.56405,-5.56634,-4.81378,0.160796,-2.113875989,-1.792575083,-1.550221884,0.051782482,0,1,0,0,0
R_bjiIMoWVkBM6m5T,Default Response Set,Anonymous,,,84.56.131.86,0,03MAY16:10:45:00,03MAY16:10:57:00,1,400107,2,0,1,,0,0,0,0,,,0,0,1,6,3,2,4,4,5,5,5,5,5,4,,7,5,4,2,1,5,3,3,5,5,6,5,3,5,5,4,7,4,3,3,6,6,2,6,3,5,7,3,5,1,5,2,5,7,7,3,5,5,5,1,,,,7,1,0,0,0,0,0,0,0,0,0,0,0,2,1,2,2,1,2,1,1,1,5,0,0,0,0,0,0,4,4,4,4,4,4,2,6,1,1,0,36,2,48.8901062,9.174606323,-1,6,5,5,5,5,2,62,5,5,24,85,12,-1.6289,-0.615666,-0.486319,1.0954,-0.524568308,-0.198268078,-0.15661338,0.352760835,0,1,0,0,0
R_71eB3Je4Ne4JOm1,Default Response Set,Anonymous,,,79.247.35.235,0,03MAY16:10:46:00,03MAY16:10:57:00,1,400127,2,0,1,,0,0,0,0,,,0,0,1,7,3,1,1,1,3,5,5,5,3,4,,6,6,2,5,7,5,2,3,6,7,2,5,3,7,7,7,6,5,2,6,6,6,6,4,4,7,5,2,7,2,7,2,7,5,6,6,6,6,5,1,,,,2,1,0,0,0,0,0,0,0,0,0,0,0,3,3,2,1,1,3,2,1,1,5,0,0,0,0,0,0,2,2,2,2,3,3,2,5,4,3,1,42,2,48.6499939,11.78329468,-1,3,6,5,5,6,4,78,2,4,22,76,26,-6.3256,-2.30609,-4.71116,0.338548,-2.037085939,-0.742649474,-1.517174306,0.109025447,0,1,0,0,0
R_eqYlk0KPQL4VE33,Default Response Set,Anonymous,,,95.90.209.204,0,03MAY16:10:50:00,03MAY16:10:59:00,1,400173,2,0,1,,0,0,0,0,,,0,0,1,5,2,2,2,1,1,5,5,5,3,4,,6,6,5,5,6,5,2,4,6,5,6,3,3,5,6,6,5,5,3,6,6,5,5,2,2,5,6,2,6,5,5,2,5,5,6,2,3,6,6,1,,,,3,1,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,1,1,2,1,1,5,0,0,0,0,0,0,2,3,3,2,3,4,2,3,5,2,1,25,2,51.34199524,12.375,-1,3,6,4,5,5,6,67,6,6,29,77,25,-4.14665,-0.480164,-3.82293,0.953721,-1.335380424,-0.154631234,-1.231130161,0.30713476,0,1,0,0,0
R_4P07qkNYPVp7Fwp,Default Response Set,Anonymous,,,79.208.68.134,0,03MAY16:10:47:00,03MAY16:10:59:00,1,400135,2,0,1,,0,0,0,0,,,0,0,1,5,2,1,1,1,2,5,5,5,3,4,,7,7,2,5,7,6,1,4,7,7,6,7,2,7,7,7,7,6,1,7,7,7,7,4,4,6,7,7,6,3,6,2,7,7,7,4,3,5,2,1,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,1,1,2,1,1,5,0,0,0,0,0,0,1,1,1,1,3,1,2,1,4,4,3,24,3,49.8999939,11.51669312,-1,3,7,4,6,7,4,77,4,4,21,94,31,-5.79625,0.00999981,-1.6799,0.798381,-1.866614926,0.003220323,-0.540992265,0.257109319,0,1,0,0,0
R_1ESdLRqINUTYTw9,Default Response Set,Anonymous,,,85.179.96.225,0,03MAY16:10:46:00,03MAY16:11:00:00,1,400121,2,0,1,,0,0,0,0,,,0,0,1,5,2,1,3,1,3,5,5,5,3,4,,4,3,4,4,5,3,4,4,4,4,3,5,4,4,5,3,4,4,4,5,4,3,4,4,3,5,4,3,6,4,5,2,3,4,4,2,4,6,5,1,,,,4,1,0,0,0,0,0,0,0,0,0,0,0,2,1,2,2,1,2,1,1,1,5,0,0,0,0,0,0,3,2,3,2,2,3,2,1,5,1,0,28,4,50.11669922,8.683303833,-1,4,4,4,4,4,4,56,6,5,26,54,23,-1.51042,0.155856,-0.0487204,1.29279,-0.486413201,0.050191613,-0.015689838,0.41632799,0,1,0,0,0
