V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,gid,Q1_1,Q1_2,Q2_1,Q2_2_1,Q2_2_2,Q2_2_3,Q2_2_4,Q2_2_5,Q2_2_6,Q2_2_7,Q2_2_8,Q2_2_9,Q2_2_10,Q2_3,Q2_4_orange,Q2_4_banana,Q2_4_strawberry,Q2_4_apple,Q2_4_5,Q2_4_loquat,Q2_4_rambutan,Q2_4_mangosteen,Q2_4_peach,Q2_5,Q2_5_TEXT,NES_11,NES_5,NES_14,CD_4R,CON_3,NES_10,CD_7R,CD_12R,NES_1,CD_5,NES_8,CON_2,CD_1R,CD_11,CD_9,CD_3,NES_7,TECH_2,CD_13R,CON_5,NES_13,NES_3,CON_1,CD_2R,TECH_5_N_,CD_8,NES_12,NES_6,CD_6,CON_4,CD_10,Q3_5_Validation,NES_15,NES_9,NES_2,TECH_3_N_,NES_4,TECH_1,TECH_4,Q3_7,Q3_7_TEXT,Q4_1,Q4_2,Q5_1,Q5_2,Q6_1,Q6_2,Q7_1_1,Q7_1_2,Q7_1_3,Q7_1_4,Q7_1_5,Q7_2,Q7_3,Q8_1,Q8_2,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_6,Q9_7,Q9_8,Q9_9,Q10_1,Q10_2_1,Q10_2_2,Q10_2_3,Q10_2_4,Q10_2_5,Q10_2_6,Q10_3_1,Q10_3_2,Q10_3_3,Q10_3_4,Q10_3_5,Q10_3_6,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_7,LocationLatitude,LocationLongitude,LocationAccuracy,CD_4,CD_7,CD_12,CD_1,CD_13,CD_2,total_CD,TECH_3,TECH_5,total_tech,total_NES,total_con,Monsanto,Family,Public,Seed,WTP_Mon,WTP_Fam,WTP_Pub,WTP_Seed,Mon_T,Emo_T,Sim_T,Ben_T,Control
R_3CVEZLhkdL7qywJ,Default Response Set,Anonymous,,,87.146.252.33,0,03MAY16:01:38:00,03MAY16:01:48:00,1,400043,2,0,1,,0,0,0,0,,,0,0,1,7,3,4,2,2,5,5,5,5,3,4,,5,6,3,4,7,6,4,4,5,5,5,5,5,4,6,5,7,5,3,5,7,6,7,5,4,5,4,3,5,3,4,2,6,4,3,3,3,6,5,1,,,,0,0,0,0,2,2,3,2,2,4,1,0,0,3,3,3,1,1,3,3,3,1,5,0,0,0,0,0,0,2,1,2,1,1,2,1,5,1,1,0,40,2,52.11669922,10.58329773,-1,4,4,4,3,5,3,57,5,4,25,73,27,-4.9732,-4.5242,-3.76714,-0.333522,-1.816349041,-1.652361926,-1.37586285,-0.121811382,0,0,0,1,0
R_3fJxWSLsMlmWYU5,Default Response Set,Anonymous,,,79.233.131.26,0,03MAY16:01:55:00,03MAY16:02:05:00,1,400048,2,0,1,,0,0,0,0,,,0,0,1,8,3,1,3,2,2,5,5,5,3,4,,5,6,5,1,5,5,1,1,5,6,5,5,1,5,6,5,6,3,2,6,5,5,6,5,5,6,5,6,5,1,6,2,5,4,4,5,3,3,1,1,,,,0,0,0,0,2,2,2,2,2,7,1,0,0,3,3,2,1,3,3,2,3,1,5,0,0,0,0,0,0,3,4,4,4,4,4,2,1,4,3,1,31,2,51.04910278,6.225997925,-1,7,7,7,7,6,3,76,3,3,13,74,23,-5.30679,-2.52041,-4.13945,-0.241638,-1.938185258,-0.92052286,-1.511840673,-0.088252825,0,0,0,1,0
R_5vU8iEvzES9P2fj,Default Response Set,Anonymous,,,178.115.130.2,0,03MAY16:02:41:00,03MAY16:02:54:00,1,800035,2,0,1,,0,0,0,0,,,1,0,0,3,2,1,1,2,2,5,5,5,3,2,,7,5,6,3,6,4,2,3,6,5,5,3,2,3,5,5,7,5,4,7,4,4,7,3,3,4,7,1,4,3,4,2,4,7,7,2,2,6,4,1,,,,0,0,0,0,2,2,4,2,3,6,1,0,0,3,3,3,1,1,3,2,3,1,5,0,0,0,0,0,0,6,5,4,4,2,2,2,1,3,2,1,7,3,48.19999695,16.3500061,-1,5,6,5,6,4,5,61,6,5,26,76,26,-5.66812,-5.18878,-4.7909,0.201687,-2.070152884,-1.895084769,-1.749768081,0.073661624,0,0,0,1,0
R_dcZnRX4u0ELRqUR,Default Response Set,Anonymous,,,79.219.133.22,0,03MAY16:03:37:00,03MAY16:03:48:00,1,400058,2,0,1,,0,0,0,0,,,0,0,1,8,2,1,1,1,3,5,5,5,2,4,,5,6,7,4,5,6,2,2,5,2,5,4,3,5,5,5,7,5,3,4,7,6,6,2,3,5,5,2,6,2,4,2,6,6,5,3,3,5,5,1,,,,0,0,0,0,3,3,3,2,3,4,1,0,0,2,2,2,1,1,1,2,1,1,2,5,6,4,5,5,4,1,2,2,2,2,1,2,5,4,2,1,53,2,49.24609375,7.002197266,-1,4,6,6,5,5,6,64,5,5,25,81,21,-5.69283,0.167277,-2.39125,0.797008,-2.079177654,0.061094148,-0.873350085,0.291089181,0,0,0,1,0
R_cwKnlCiczduUmAB,Default Response Set,Anonymous,,,178.203.235.1,0,03MAY16:03:38:00,03MAY16:04:20:00,1,400059,2,0,1,,0,0,0,0,,,0,0,1,4,4,1,2,2,5,5,5,5,3,4,,3,6,4,3,6,4,2,4,3,6,6,5,1,6,7,7,7,6,1,5,6,5,5,2,1,6,7,2,6,1,6,2,5,6,3,3,3,7,5,1,,,,0,0,0,0,2,2,2,2,2,3,1,0,0,2,1,2,2,1,2,1,1,1,3,4,4,4,4,4,4,5,5,5,5,5,5,2,2,4,2,1,15,2,51,9,-1,5,6,4,7,7,6,79,5,7,30,70,22,-2.599,-0.335757,-1.27898,1.21018,-0.949226083,-0.122627665,-0.467118575,0.441990928,0,0,0,1,0
R_eb0YJkyhzAPzc5T,Default Response Set,Anonymous,,,79.215.169.5,0,03MAY16:06:39:00,03MAY16:06:47:00,1,400073,2,0,1,,0,1,0,0,,,0,0,0,4,2,2,3,3,4,5,5,5,3,4,,5,6,6,4,7,6,2,2,6,6,7,7,5,6,6,6,7,5,3,7,7,7,7,5,2,7,6,1,7,6,6,2,6,6,6,2,3,6,1,1,,,,0,0,0,0,3,3,3,3,2,2,1,0,0,2,1,2,2,1,2,1,1,1,5,0,0,0,0,0,0,2,2,3,3,3,3,1,2,1,2,1,17,1,52.582901,13.40950012,-1,4,6,6,3,5,3,71,6,6,24,85,34,-1.4191,-0.416483,-1.5373,0.723481,-0.518294242,-0.152111015,-0.561464124,0.264235104,0,0,0,1,0
R_0k4yLrt92PT0Rr7,Default Response Set,Anonymous,,,80.144.127.97,0,03MAY16:07:36:00,03MAY16:07:45:00,1,400076,2,0,1,,0,0,0,0,,,0,0,1,6,1,1,1,1,1,4,5,5,1,4,,6,6,2,6,6,5,2,3,7,7,7,7,2,6,7,6,7,6,2,7,7,7,7,6,2,7,6,1,6,7,6,2,7,7,6,6,5,5,6,1,,,,0,0,0,0,2,1,1,1,1,2,1,0,0,2,1,2,1,1,2,1,1,1,4,0,0,0,0,0,0,2,2,2,2,2,2,2,2,4,3,2,36,2,49.75,6.633300781,-1,2,6,5,6,6,2,72,2,6,25,86,34,-2.45783,-0.376241,-1.93418,1.81773,-0.897666927,-0.137413532,-0.706415585,0.663884851,0,0,0,1,0
R_6rEatI441hPm4El,Default Response Set,Anonymous,,,95.91.225.46,0,03MAY16:07:36:00,03MAY16:07:49:00,1,400075,2,0,1,,0,0,0,0,,,0,0,1,4,3,1,1,1,1,5,5,5,3,4,,6,7,5,2,6,6,1,2,7,7,5,5,2,6,6,6,7,4,3,5,5,6,5,2,2,7,7,2,7,5,7,2,6,6,5,3,4,5,5,1,,,,0,0,0,0,1,2,2,1,1,2,1,0,0,2,2,2,2,1,1,2,1,1,3,7,7,7,7,7,7,3,2,4,2,3,3,2,1,3,2,1,15,4,53.55000305,10,-1,6,7,6,6,5,6,82,5,6,25,84,26,-5.62566,0.754719,-0.955039,0.403242,-2.054645328,0.275644079,-0.348806437,0.147275038,0,0,0,1,0
R_cTRMkDHbowd8sgl,Default Response Set,Anonymous,,,88.152.53.168,0,03MAY16:08:07:00,03MAY16:08:21:00,1,400085,2,0,1,,0,0,0,0,,,0,0,1,8,1,1,1,2,1,5,5,5,2,4,,5,6,4,6,7,4,0,3,6,5,6,6,5,5,4,5,6,5,5,6,6,6,6,5,3,5,6,1,5,4,5,2,5,5,4,3,2,5,5,1,,,,0,0,0,0,1,1,2,1,1,1,1,0,0,2,3,2,1,2,1,3,1,2,5,0,0,0,0,0,0,4,3,4,4,4,3,2,5,4,2,1,54,2,51,9,-1,2,8,5,3,3,3,58,5,5,25,72,29,-6.30645,3.71272,-4.75169,0.199634,-2.303288508,1.355987173,-1.735447513,0.072911812,0,0,0,1,0
R_6Ej004yiCCAHu1n,Default Response Set,Anonymous,,,79.223.153.23,0,03MAY16:10:45:00,03MAY16:10:52:00,1,400111,2,0,1,,0,0,0,0,,,0,0,1,6,2,1,1,1,2,5,5,5,4,4,,5,5,4,4,4,6,3,4,4,4,4,4,3,4,5,5,5,4,4,5,5,5,5,4,4,4,7,4,4,1,4,2,5,4,7,4,4,4,4,1,,,,0,0,0,0,3,3,3,3,3,4,1,0,0,2,1,2,2,2,2,1,1,2,5,0,0,0,0,0,0,4,4,4,4,4,4,2,1,6,2,1,33,2,51.32719421,9.170898438,-1,4,5,4,5,4,4,56,4,4,20,74,19,-2.01913,1.39746,-1.21364,1.04527,-0.737441655,0.51039072,-0.443254615,0.381761273,0,0,0,1,0
R_esd9hAaLfDq7rlH,Default Response Set,Anonymous,,,176.7.87.245,0,03MAY16:10:45:00,03MAY16:10:56:00,1,400106,2,0,1,,0,0,0,0,,,0,0,1,4,1,1,1,1,2,5,5,5,3,4,,5,5,4,4,6,5,3,4,5,5,4,5,4,5,5,5,6,4,4,6,6,5,5,4,5,5,4,4,4,4,5,2,4,6,5,4,4,4,5,1,,,,0,0,0,0,2,2,2,2,2,4,1,0,0,2,2,2,1,1,1,2,1,1,4,4,5,4,3,4,5,3,4,4,3,3,3,2,1,4,2,1,12,2,51,9,-1,4,5,4,4,4,4,59,4,3,20,72,26,-5.46454,0.241944,-2.20452,1.01363,-1.995799885,0.088364585,-0.805151168,0.370205477,0,0,0,1,0
R_25ASLwK03bBsO3z,Default Response Set,Anonymous,,,37.24.212.133,0,03MAY16:10:50:00,03MAY16:10:56:00,1,400167,2,0,1,,0,0,0,0,,,0,0,1,7,3,1,3,1,3,5,5,5,3,4,,7,7,2,4,6,7,2,4,6,5,6,5,2,7,6,7,7,5,1,5,7,7,7,4,3,6,7,4,7,7,1,2,6,6,5,3,2,6,5,1,,,,0,0,0,0,1,1,2,1,1,4,1,0,0,2,2,2,2,2,1,2,1,1,3,7,7,7,7,7,7,1,1,1,1,1,1,2,1,3,1,0,46,2,51,9,-1,4,6,4,6,7,4,70,5,5,26,86,30,-5.54925,2.25305,-0.272365,0.0654919,-2.0267383,0.822875655,-0.099475168,0.023919438,0,0,0,1,0
R_bOslh2ImBAHYjHL,Default Response Set,Anonymous,,,109.192.194.6,0,03MAY16:10:50:00,03MAY16:10:57:00,1,400169,2,0,1,,0,0,0,0,,,0,0,1,5,2,1,1,1,3,5,5,5,3,4,,4,5,5,4,5,3,3,4,4,5,4,6,3,5,5,6,4,5,4,6,5,4,4,4,3,5,4,3,5,4,4,2,3,6,4,2,2,6,2,1,,,,0,0,0,0,2,2,3,3,3,1,1,0,0,2,1,2,2,2,2,1,1,1,5,0,0,0,0,0,0,4,4,4,4,4,4,1,1,3,3,1,28,5,49.13859558,9.195404053,-1,4,5,4,5,4,4,61,6,5,24,60,25,-0.285361,-0.00333774,-1.0887,0.988653,-0.104221664,-0.001219034,-0.3976231,0.361083192,0,0,0,1,0
R_4N18lFcHsE7tRU9,Default Response Set,Anonymous,,,62.178.150.21,0,03MAY16:10:51:00,03MAY16:10:58:00,1,800057,2,0,1,,0,0,0,0,,,0,0,1,7,2,2,1,2,3,5,5,5,1,2,,7,7,5,4,7,7,1,1,5,5,7,7,3,5,5,5,7,3,1,6,6,6,7,5,3,5,6,2,5,1,6,2,5,7,7,2,4,4,5,1,,,,0,0,0,0,2,2,2,2,2,3,1,0,0,2,3,2,1,1,1,3,1,1,3,7,7,7,7,7,7,2,2,2,2,2,2,2,5,6,2,1,49,3,48.21670532,16.30000305,-1,4,7,7,5,7,3,69,6,5,23,88,28,-5.44598,-0.327598,-4.51612,0.393184,-1.989021264,-0.119647775,-1.649410888,0.143601581,0,0,0,1,0
R_1yNXsJ3iWa99Stf,Default Response Set,Anonymous,,,84.131.255.22,0,03MAY16:10:46:00,03MAY16:10:58:00,1,400115,2,0,1,,0,0,0,0,,,0,0,1,6,2,2,1,1,2,5,5,5,1,4,,7,7,4,5,7,6,4,4,7,6,6,7,4,1,6,6,7,5,4,7,7,7,7,5,4,7,7,1,6,5,6,2,6,7,7,5,6,5,5,1,,,,0,0,0,0,3,2,1,1,2,4,1,0,0,3,2,2,1,1,1,2,1,1,5,0,0,0,0,0,0,4,2,2,4,4,3,2,2,5,2,1,33,2,53.55000305,10,-1,3,4,4,4,4,3,60,3,4,22,92,33,-4.44037,-0.819827,-2.80168,0.445891,-1.621744911,-0.299423306,-1.023250378,0.162851623,0,0,0,1,0
R_8BXwI8kT4K7aUvP,Default Response Set,Anonymous,,,178.25.219.23,0,03MAY16:10:55:00,03MAY16:10:59:00,1,400218,2,0,1,,0,0,0,0,,,0,0,1,4,1,1,1,1,1,5,5,5,1,4,,5,6,1,4,7,6,4,4,7,4,6,4,2,5,6,7,6,6,3,7,6,5,4,4,1,4,4,4,4,4,4,2,7,7,4,1,4,7,7,1,,,,0,0,0,0,1,2,1,1,2,3,1,0,0,2,1,2,2,1,3,1,1,1,5,0,0,0,0,0,0,1,1,1,1,1,1,1,1,5,3,2,16,3,47.72290039,10.32879639,-1,4,4,4,6,5,4,61,7,7,34,78,26,-1.88824,-0.603668,-2.38322,0.38161,-0.689637037,-0.22047611,-0.870417309,0.139374438,0,0,0,1,0
R_6usIdWvkjLCeoWV,Default Response Set,Anonymous,,,90.186.3.88,0,03MAY16:10:48:00,03MAY16:10:59:00,1,400155,2,0,1,,0,0,0,0,,,0,0,1,7,2,2,2,1,2,5,5,5,2,4,,6,6,4,5,7,7,4,4,7,4,4,6,6,4,5,4,7,7,4,7,7,7,7,4,1,4,5,4,4,5,4,2,1,7,7,2,4,6,5,6,,,,0,0,0,0,2,1,1,1,2,3,1,0,0,2,2,2,1,1,1,2,1,1,3,4,5,4,5,5,5,1,2,2,2,2,1,1,6,1,1,0,41,2,51.34199524,12.375,-1,3,4,4,2,4,4,50,6,7,31,83,32,-5.71133,0.627275,-2.15345,0.820833,-2.085934361,0.229098034,-0.786499003,0.299790725,0,0,0,1,0
R_8jJsMZG1TUq7iv3,Default Response Set,Anonymous,,,78.51.70.151,0,03MAY16:10:55:00,03MAY16:11:00:00,1,400214,2,0,1,,0,0,0,0,,,0,0,1,5,2,1,2,1,3,5,5,5,3,4,,7,6,3,5,6,2,2,2,4,5,7,4,5,5,6,6,4,4,6,5,5,7,6,4,2,5,6,1,6,4,6,2,6,6,3,4,4,7,5,1,,,,0,0,0,0,2,2,3,3,3,3,1,0,0,2,2,2,2,2,1,1,1,1,3,7,6,7,6,6,7,4,4,3,4,4,4,1,1,3,2,1,25,2,53.55000305,10,-1,3,6,6,3,2,4,63,4,6,26,71,25,-1.76092,1.13201,-0.695143,0.0751863,-0.643136281,0.4134411,-0.253885289,0.027460099,0,0,0,1,0
R_88uKlX8AJE6JHPT,Default Response Set,Anonymous,,,5.175.13.101,0,03MAY16:10:51:00,03MAY16:11:01:00,1,400181,2,0,1,,0,0,0,0,,,0,0,1,5,2,1,1,1,1,5,5,5,3,4,,7,7,4,2,7,7,1,2,7,7,7,7,1,7,7,7,7,6,4,7,7,7,6,6,4,7,7,3,4,7,7,2,7,7,7,4,4,5,6,1,,,,0,0,0,0,1,1,1,1,1,4,1,0,0,3,3,3,1,1,3,2,3,1,5,0,0,0,0,0,0,4,6,4,6,7,6,2,1,2,1,0,22,3,51.6499939,6.183303833,-1,6,7,6,7,4,2,78,4,4,25,95,34,-3.90933,-3.28638,-4.50988,-0.160084,-1.427794538,-1.200276112,-1.647131869,-0.058467067,0,0,0,1,0
R_b7LXcSY4cYU9Nch,Default Response Set,Anonymous,,,132.252.173.1,0,03MAY16:10:53:00,03MAY16:11:01:00,1,400194,2,0,1,,0,0,0,0,,,0,0,1,5,4,4,1,2,5,5,5,5,3,4,,4,4,4,4,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,2,4,4,4,4,4,4,4,1,,,,0,0,0,0,3,3,3,3,3,4,1,0,0,3,3,3,3,3,3,3,3,3,5,0,0,0,0,0,0,4,4,4,4,4,4,2,1,3,1,0,27,2,51.44999695,7.016693115,-1,4,4,4,4,4,4,52,4,4,20,60,19,-4.7271,-3.46648,-4.58237,-1.71117,-1.726466571,-1.266053572,-1.673607205,-0.624966216,0,0,0,1,0
R_dmKHY7RU53iY5hz,Default Response Set,Anonymous,,,93.195.60.218,0,03MAY16:10:47:00,03MAY16:11:02:00,1,400136,2,0,1,,0,0,0,0,,,0,0,1,5,1,1,1,1,2,5,5,5,1,4,,4,4,4,4,4,4,4,5,4,4,4,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,1,,,,0,0,0,0,2,2,2,2,2,2,1,0,0,1,2,2,1,1,2,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,2,1,6,4,3,28,2,50.93330383,6.949996948,-1,4,4,3,4,4,4,51,4,4,20,60,22,-3.05618,-1.55243,-0.39432,1.57397,-1.116200758,-0.566990015,-0.144016479,0.574857013,0,0,0,1,0
